movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,mode,purpose,user_gender,origin_municipality,destination_municipality,trip_weight,timezone_offset_min,personal_income_band,origin_stop_id,origin_sector_id,household_size
m00015,u0456,t00015,0,-70.71117715065266,-33.369092614769336,-70.73950448884317,-33.381189392151434,2026-03-08T02:50:00Z,2026-03-08T02:59:00Z,train,education,female,La Florida,Estación Central,1.758,-180,800k+,STOP_3540,SEC_294,1
m00016,u0188,t00016,0,-70.61233377008456,-33.48855345908554,-70.60574627714931,-33.47561996507634,2026-03-04T01:18:00Z,2026-03-04T02:01:00Z,motorcycle,Trámites,male,Pudahuel,Ñuñoa,4.486,-180,800k+,STOP_4718,SEC_165,4
m00017,u0295,t00017,0,-70.71557160224884,-33.40168779863545,-70.65648947694129,-33.408744855495115,2026-03-04T08:53:00Z,2026-03-04T10:12:00Z,walk,Buscar o dejar algo,other,Maipú,Puente Alto,1.486,-180,<200k,STOP_4296,SEC_258,8
m00018,u0446,t00018,0,-70.63597775690216,-33.381031459808426,-70.61478454596063,-33.3591726573885,2026-03-03T10:54:00Z,2026-03-03T12:21:00Z,metro,home,other,Maipú,Pudahuel,0.661,-180,no_income,STOP_2450,SEC_108,2
m00019,u0390,t00019,0,-70.55615293735217,-33.455462801645254,-70.60421369681224,-33.44615605607832,2026-03-06T09:02:00Z,2026-03-06T09:07:00Z,taxi,transfer,unknown,Vitacura,Independencia,4.542,-180,<200k,STOP_1830,SEC_329,5
m00020,u0277,t00020,0,-70.62988322574455,-33.53222112389247,-70.60534054399635,-33.528037576743884,2026-03-05T04:57:00Z,2026-03-05T06:44:00Z,train,shopping,male,San Miguel,Puente Alto,2.043,-180,no_income,STOP_0554,SEC_498,5
m00021,u0363,t00021,0,-70.76525744912487,-33.474439987103835,-70.8602534087653,-33.47438072433749,2026-03-02T21:54:00Z,2026-03-02T23:08:00Z,bicycle,Otra actividad,male,Providencia,Quilicura,2.929,-180,800k+,STOP_2505,SEC_493,5
m00022,u0541,t00022,0,-70.66150348799057,-33.377358704334455,-70.66431921650887,-33.408655916011014,2026-03-06T16:30:00Z,2026-03-06T18:18:00Z,car,home,female,Ñuñoa,La Florida,4.31,-180,no_income,STOP_1974,SEC_271,6
m00023,u0329,t00023,0,-70.78569612987121,-33.479648131692294,-70.82918434889862,-33.48171145273034,2026-03-04T07:57:00Z,2026-03-04T09:16:00Z,ride_hailing,Por trabajo,female,Las Condes,Las Condes,4.433,-180,800k+,STOP_1659,SEC_240,5
m00024,u0014,t00024,0,-70.42790134500152,-33.44914341642114,-70.4195516443538,-33.42349802190964,2026-03-01T15:07:00Z,2026-03-01T16:18:00Z,bus,De compras,unknown,Las Condes,Providencia,4.678,-180,800k+,STOP_2293,SEC_065,7
m00025,u0360,t00025,0,-70.62186786386806,-33.44428438293411,-70.59827214858461,-33.485364184130106,2026-03-02T12:07:00Z,2026-03-02T13:51:00Z,metro,education,male,Pudahuel,Recoleta,1.186,-180,400k-800k,STOP_4735,SEC_441,6
m00026,u0095,t00026,0,-70.69776238580398,-33.3624358108389,-70.64251032741834,-33.381347739694654,2026-03-02T23:29:00Z,2026-03-03T00:04:00Z,motorcycle,leisure,other,Pudahuel,Pudahuel,2.005,-180,no_income,STOP_0941,SEC_228,6
m00027,u0550,t00027,0,-70.69216517593824,-33.53662903829094,-70.64176433447665,-33.501197741253755,2026-03-05T01:13:00Z,2026-03-05T02:04:00Z,motorcycle,home,other,Las Condes,La Florida,2.151,-180,800k+,STOP_0305,SEC_519,4
m00028,u0335,t00028,0,-70.73880307799446,-33.35874365474427,-70.74699104049509,-33.345861608553165,2026-03-01T16:18:00Z,2026-03-01T17:48:00Z,ride_hailing,Comer o Tomar algo,male,San Miguel,La Florida,1.561,-180,<200k,STOP_2540,SEC_576,4
m00029,u0080,t00029,0,-70.78214270472111,-33.20668292334161,-70.83129561424643,-33.221759416529956,2026-03-04T01:50:00Z,2026-03-04T03:29:00Z,bus,Comer o Tomar algo,female,Pudahuel,San Miguel,3.191,-180,no_income,STOP_3370,SEC_424,1
m00030,u0037,t00030,0,-70.55278239085477,-33.363788789373764,-70.47348886372082,-33.3742909303392,2026-03-07T09:25:00Z,2026-03-07T10:17:00Z,train,other,unknown,Las Condes,Estación Central,3.341,-180,200k-400k,STOP_3219,SEC_470,7
m00031,u0128,t00031,0,-70.61629325296607,-33.501152026920025,-70.54530911846219,-33.475586031060345,2026-03-06T10:40:00Z,2026-03-06T12:30:00Z,scooter,Otra actividad,other,San Miguel,Vitacura,2.822,-180,400k-800k,STOP_3682,SEC_324,6
m00032,u0153,t00032,0,-70.60921427008219,-33.4464385378818,-70.57495428334553,-33.46483418413222,2026-03-07T17:27:00Z,2026-03-07T18:14:00Z,car,Comer o Tomar algo,other,Puente Alto,Providencia,2.974,-180,<200k,STOP_3318,SEC_460,6
m00033,u0361,t00033,0,-70.70333678777097,-33.33957636643739,-70.67292627929947,-33.33464384379901,2026-03-05T15:54:00Z,2026-03-05T16:55:00Z,scooter,Buscar o dejar algo,female,Quilicura,Santiago,2.835,-180,no_income,STOP_4093,SEC_420,4
m00034,u0462,t00034,0,-70.55458107742916,-33.45996907498774,-70.59379583458282,-33.462788800773474,2026-03-06T21:34:00Z,2026-03-06T23:07:00Z,bus,errand,unknown,San Miguel,Ñuñoa,1.501,-180,<200k,STOP_0236,SEC_579,4
m00035,u0401,t00035,0,-70.73966257955318,-33.56946048857622,-70.75843571525618,-33.5530638150631,2026-03-06T01:35:00Z,2026-03-06T01:48:00Z,other,shopping,unknown,Recoleta,Puente Alto,2.124,-180,no_income,STOP_2208,SEC_261,3
m00036,u0037,t00036,0,-70.80766605019907,-33.498895442190445,-70.8708603073749,-33.494208968945834,2026-03-08T01:05:00Z,2026-03-08T02:35:00Z,metro,home,female,Maipú,Independencia,1.409,-180,400k-800k,STOP_0012,SEC_560,1
m00037,u0098,t00037,0,-70.70988923872547,-33.48156808351024,-70.68198091980106,-33.459800399686586,2026-03-07T19:37:00Z,2026-03-07T21:04:00Z,bus,Por estudio,unknown,Pudahuel,Vitacura,3.475,-180,400k-800k,STOP_1103,SEC_140,6
m00038,u0237,t00038,0,-70.72497151831018,-33.512497139548024,-70.757147220306,-33.56304709933199,2026-03-04T02:50:00Z,2026-03-04T04:30:00Z,taxi,Por trabajo,female,San Miguel,Las Condes,4.275,-180,200k-400k,STOP_1152,SEC_224,5
m00039,u0096,t00039,0,-70.56750512935115,-33.453403482385085,-70.61969345672472,-33.46542667458738,2026-03-06T16:01:00Z,2026-03-06T17:43:00Z,bicycle,Al estudio,other,San Miguel,Las Condes,1.174,-180,no_income,STOP_2356,SEC_527,7
m00040,u0597,t00040,0,-70.63393935620849,-33.43577811347814,-70.58337205236411,-33.399182219712756,2026-03-01T12:59:00Z,2026-03-01T13:34:00Z,scooter,transfer,female,San Miguel,Quilicura,2.508,-180,200k-400k,STOP_4138,SEC_122,1
m00041,u0597,t00041,0,-70.6882013537066,-33.688244406838436,-70.64514383753885,-33.66523704708505,2026-03-08T05:18:00Z,2026-03-08T05:23:00Z,walk,Buscar o Dejar a alguien,male,San Miguel,Estación Central,4.886,-180,800k+,STOP_2150,SEC_159,8
m00042,u0581,t00042,0,-70.54323339932697,-33.498326708840224,-70.57369096626479,-33.47555350764212,2026-03-06T08:53:00Z,2026-03-06T10:06:00Z,bicycle,leisure,unknown,Providencia,Ñuñoa,0.608,-180,<200k,STOP_1934,SEC_527,7
m00043,u0139,t00043,0,-70.72848496679813,-33.50032883913307,-70.79420617626513,-33.54329772219661,2026-03-02T23:31:00Z,2026-03-03T01:13:00Z,bicycle,Al trabajo,male,Pudahuel,Vitacura,4.918,-180,no_income,STOP_1738,SEC_123,1
m00044,u0533,t00044,0,-70.80661901054692,-33.386939046278314,-70.79813770918207,-33.377625058828464,2026-03-05T03:14:00Z,2026-03-05T04:57:00Z,bus,Trámites,other,Pudahuel,Vitacura,2.288,-180,<200k,STOP_4717,SEC_261,5
m00045,u0327,t00045,0,-70.5088571319459,-33.60511651974776,-70.54127647841085,-33.59281577398146,2026-03-06T02:46:00Z,2026-03-06T02:59:00Z,scooter,Por trabajo,female,La Florida,Estación Central,1.75,-180,200k-400k,STOP_4395,SEC_524,4
m00046,u0202,t00046,0,-70.54325867196721,-33.41727822576487,-70.5695149190784,-33.44968984455311,2026-03-02T22:50:00Z,2026-03-03T00:34:00Z,taxi,Buscar o Dejar a alguien,other,Recoleta,Vitacura,4.825,-180,800k+,STOP_0933,SEC_088,4
m00047,u0314,t00047,0,-70.6472362540213,-33.44517375261632,-70.65133103957582,-33.41383056479386,2026-03-01T19:26:00Z,2026-03-01T21:23:00Z,motorcycle,Recreación,male,Santiago,La Florida,1.625,-180,200k-400k,STOP_4422,SEC_107,7
m00048,u0258,t00048,0,-70.66527271967216,-33.419686493044445,-70.58116438625666,-33.38026680305562,2026-03-03T06:14:00Z,2026-03-03T08:04:00Z,bicycle,Por trabajo,unknown,Independencia,Las Condes,1.343,-180,800k+,STOP_0032,SEC_210,5
m00049,u0031,t00049,0,-70.79148795599785,-33.55175866703095,-70.77607294821651,-33.55077824998901,2026-03-05T18:26:00Z,2026-03-05T19:50:00Z,bus,home,other,Vitacura,Ñuñoa,1.707,-180,400k-800k,STOP_4044,SEC_599,5
m00050,u0382,t00050,0,-70.62566522516096,-33.35518539110349,-70.57118591319967,-33.30407921687272,2026-03-03T15:12:00Z,2026-03-03T16:02:00Z,metro,home,male,San Miguel,Independencia,4.59,-180,400k-800k,STOP_2124,SEC_330,5
m00051,u0169,t00051,0,-70.45598033463536,-33.536303366770696,-70.4545596862737,-33.484660099885055,2026-03-01T18:03:00Z,2026-03-01T18:43:00Z,car,health,other,Puente Alto,Independencia,4.598,-180,no_income,STOP_0685,SEC_539,5
m00052,u0178,t00052,0,-70.66977600552332,-33.517157629504254,-70.60405104648824,-33.45938991876965,2026-03-05T15:21:00Z,2026-03-05T16:26:00Z,motorcycle,home,other,Estación Central,Maipú,3.488,-180,no_income,STOP_3328,SEC_252,1
m00053,u0022,t00053,0,-70.66705322803595,-33.31496707149562,-70.65764066412463,-33.276884325658365,2026-03-05T12:01:00Z,2026-03-05T13:02:00Z,walk,Trámites,female,Ñuñoa,Estación Central,4.658,-180,200k-400k,STOP_2020,SEC_174,5
m00054,u0285,t00054,0,-70.53036972040522,-33.48228878641077,-70.51052135195697,-33.51903519539791,2026-03-06T20:42:00Z,2026-03-06T21:57:00Z,train,Trámites,female,Santiago,Providencia,2.251,-180,800k+,STOP_1045,SEC_327,6
m00055,u0592,t00055,0,-70.79841070328355,-33.48831317643414,-70.78878178326035,-33.4635575874874,2026-03-08T04:43:00Z,2026-03-08T05:11:00Z,other,Al trabajo,male,Maipú,Ñuñoa,4.292,-180,200k-400k,STOP_2159,SEC_418,8
m00056,u0371,t00056,0,-70.68107273619788,-33.38697291273816,-70.70175835717097,-33.3534307622647,2026-03-05T08:25:00Z,2026-03-05T08:44:00Z,walk,Otra actividad,male,Puente Alto,Quilicura,3.637,-180,800k+,STOP_3401,SEC_388,8
m00057,u0376,t00057,0,-70.61077263849451,-33.356623398112696,-70.59779150959699,-33.300827482786666,2026-03-07T01:40:00Z,2026-03-07T01:55:00Z,ride_hailing,shopping,other,Estación Central,Estación Central,0.69,-180,400k-800k,STOP_1402,SEC_031,8
m00058,u0161,t00058,0,-70.6986372386836,-33.33215375273193,-70.65165795314762,-33.28190472039186,2026-03-01T15:05:00Z,2026-03-01T16:38:00Z,ride_hailing,Al estudio,male,Las Condes,Maipú,4.847,-180,200k-400k,STOP_1863,SEC_390,6
m00059,u0564,t00059,0,-70.7621704870456,-33.56269316039751,-70.76369303974832,-33.55107133581267,2026-03-07T15:43:00Z,2026-03-07T16:59:00Z,walk,health,female,La Florida,Maipú,2.89,-180,no_income,STOP_1017,SEC_298,3
m00060,u0248,t00060,0,-70.5483269606266,-33.50968535775043,-70.51771357218104,-33.524517153287114,2026-03-04T03:13:00Z,2026-03-04T03:45:00Z,ride_hailing,errand,unknown,Ñuñoa,Providencia,2.637,-180,<200k,STOP_2269,SEC_470,1
m00061,u0479,t00061,0,-70.78730787617683,-33.404406867780246,-70.83451310015263,-33.40600134939984,2026-03-03T15:09:00Z,2026-03-03T15:47:00Z,other,Recreación,female,Providencia,Las Condes,2.31,-180,<200k,STOP_0303,SEC_250,4
m00062,u0594,t00062,0,-70.61964658032939,-33.44748065302954,-70.59518381973861,-33.42648671549185,2026-03-05T02:49:00Z,2026-03-05T04:35:00Z,bicycle,Recreación,unknown,Quilicura,San Miguel,2.134,-180,200k-400k,STOP_2088,SEC_164,2
m00063,u0258,t00063,0,-70.53691604128296,-33.45901345558216,-70.55151625293291,-33.425387634222304,2026-03-03T13:04:00Z,2026-03-03T14:00:00Z,car,Recreación,male,Maipú,Estación Central,2.869,-180,<200k,STOP_0538,SEC_126,1
m00064,u0345,t00064,0,-70.62788717857934,-33.341060584189606,-70.67080638451192,-33.35936340188942,2026-03-07T15:03:00Z,2026-03-07T16:33:00Z,car,Otra actividad,other,Santiago,Las Condes,2.68,-180,<200k,STOP_1557,SEC_224,4
m00065,u0447,t00065,0,-70.69574708211887,-33.48594980260479,-70.72715250214794,-33.51558934167852,2026-03-05T10:56:00Z,2026-03-05T11:44:00Z,motorcycle,Buscar o dejar algo,other,Providencia,Las Condes,4.632,-180,200k-400k,STOP_0990,SEC_281,6
m00066,u0358,t00066,0,-70.69864739416603,-33.371893277342885,-70.72021617559183,-33.424440481904014,2026-03-01T17:01:00Z,2026-03-01T18:33:00Z,car,leisure,male,San Miguel,Pudahuel,2.075,-180,200k-400k,STOP_3506,SEC_452,2
m00067,u0426,t00067,0,-70.85641512562238,-33.46616532936158,-70.87241630572508,-33.42695714541796,2026-03-06T16:27:00Z,2026-03-06T16:37:00Z,car,Por estudio,other,Pudahuel,Ñuñoa,4.909,-180,400k-800k,STOP_0287,SEC_520,6
m00068,u0241,t00068,0,-70.65973082389854,-33.424075300362496,-70.58709232701428,-33.43591588678226,2026-03-03T23:44:00Z,2026-03-04T00:02:00Z,ride_hailing,Buscar o dejar algo,other,Recoleta,La Florida,1.777,-180,800k+,STOP_3114,SEC_440,2
m00069,u0202,t00069,0,-70.62168500154476,-33.384643296085585,-70.60181904712586,-33.38984165911861,2026-03-07T01:54:00Z,2026-03-07T02:01:00Z,train,Buscar o Dejar a alguien,unknown,Maipú,Vitacura,3.235,-180,no_income,STOP_2364,SEC_309,8
m00070,u0185,t00070,0,-70.81726893352749,-33.45409367849317,-70.76904515342137,-33.50584721041042,2026-03-01T16:22:00Z,2026-03-01T17:36:00Z,scooter,home,unknown,Providencia,Maipú,3.116,-180,400k-800k,STOP_3533,SEC_576,6
m00071,u0054,t00071,0,-70.71270965352561,-33.454373967098675,-70.73491977573366,-33.46902741647656,2026-03-03T06:04:00Z,2026-03-03T06:48:00Z,other,shopping,unknown,Estación Central,Independencia,4.511,-180,<200k,STOP_2747,SEC_304,2
m00072,u0175,t00072,0,-70.74214799600385,-33.35797627036439,-70.71088431887345,-33.321940409709356,2026-03-06T17:51:00Z,2026-03-06T18:05:00Z,car,health,male,Maipú,Recoleta,4.221,-180,<200k,STOP_4993,SEC_408,7
m00073,u0348,t00073,0,-70.67218336461745,-33.4445269456744,-70.7678346320556,-33.461169376365866,2026-03-01T06:39:00Z,2026-03-01T07:09:00Z,metro,shopping,male,La Florida,Las Condes,4.991,-180,800k+,STOP_2309,SEC_139,2
m00074,u0038,t00074,0,-70.55247886442957,-33.445457551073,-70.54587560913151,-33.43279951945023,2026-03-03T21:35:00Z,2026-03-03T23:26:00Z,other,Otra actividad,unknown,Las Condes,Santiago,1.783,-180,400k-800k,STOP_0600,SEC_153,8
m00075,u0240,t00075,0,-70.77278812800792,-33.44685087507563,-70.71881212874868,-33.413313639767914,2026-03-04T17:17:00Z,2026-03-04T17:26:00Z,metro,Por estudio,other,Puente Alto,Ñuñoa,2.657,-180,no_income,STOP_0645,SEC_261,1
m00076,u0410,t00076,0,-70.62714719249526,-33.345401668399575,-70.59970187089547,-33.37231500565988,2026-03-07T15:32:00Z,2026-03-07T16:32:00Z,motorcycle,Por trabajo,unknown,Providencia,Recoleta,1.223,-180,<200k,STOP_2842,SEC_521,7
m00077,u0302,t00077,0,-70.7155690178139,-33.424350055359035,-70.69112365623428,-33.43335665382017,2026-03-04T08:40:00Z,2026-03-04T09:56:00Z,metro,shopping,unknown,Estación Central,Maipú,4.104,-180,800k+,STOP_1412,SEC_464,3
m00078,u0091,t00078,0,-70.6352904609626,-33.35245310109724,-70.57170835366998,-33.3839745058361,2026-03-01T16:10:00Z,2026-03-01T17:32:00Z,bus,Trámites,male,Independencia,Ñuñoa,1.146,-180,400k-800k,STOP_0999,SEC_370,5
m00079,u0323,t00079,0,-70.7369213247516,-33.36696095707154,-70.7949506314251,-33.365030270613296,2026-03-03T22:09:00Z,2026-03-03T23:57:00Z,metro,Al estudio,female,Ñuñoa,Providencia,2.028,-180,200k-400k,STOP_3179,SEC_367,4
m00080,u0226,t00080,0,-70.9048523024542,-33.555318743498326,-70.94702688820885,-33.60942053812374,2026-03-06T06:17:00Z,2026-03-06T07:43:00Z,walk,shopping,unknown,Puente Alto,Las Condes,1.198,-180,800k+,STOP_0987,SEC_004,5
m00081,u0308,t00081,0,-70.64952671691755,-33.474141970178565,-70.58528415661702,-33.49420809278697,2026-03-04T17:52:00Z,2026-03-04T19:15:00Z,ride_hailing,Trámites,unknown,Recoleta,Pudahuel,3.972,-180,200k-400k,STOP_2784,SEC_216,4
m00082,u0196,t00082,0,-70.74694413906582,-33.49065086575588,-70.73323233802614,-33.50391874290201,2026-03-03T21:31:00Z,2026-03-03T21:49:00Z,motorcycle,volver a casa,male,Pudahuel,Santiago,4.975,-180,200k-400k,STOP_2831,SEC_209,2
m00083,u0146,t00083,0,-70.72762183284341,-33.39821160164651,-70.66725238762629,-33.43462903525655,2026-03-05T13:15:00Z,2026-03-05T14:25:00Z,bicycle,leisure,male,Vitacura,Vitacura,2.236,-180,800k+,STOP_1532,SEC_334,2
m00084,u0127,t00084,0,-70.68140777821269,-33.42451240860509,-70.68059625840006,-33.451731659536854,2026-03-03T05:53:00Z,2026-03-03T05:59:00Z,motorcycle,Por trabajo,unknown,Independencia,Providencia,4.071,-180,no_income,STOP_0919,SEC_078,8
m00085,u0151,t00085,0,-70.70961826113465,-33.325423685078775,-70.70995484737388,-33.315892860870626,2026-03-08T01:19:00Z,2026-03-08T02:28:00Z,car,other,male,Estación Central,La Florida,0.503,-180,200k-400k,STOP_4449,SEC_468,8
m00086,u0140,t00086,0,-70.74957723699274,-33.33060118403257,-70.76219194726764,-33.30245748619997,2026-03-07T11:50:00Z,2026-03-07T13:29:00Z,ride_hailing,Por estudio,unknown,Maipú,Santiago,2.581,-180,<200k,STOP_4920,SEC_239,3
m00087,u0210,t00087,0,-70.43895126396073,-33.5549385115651,-70.4629245263657,-33.5384708615537,2026-03-07T19:54:00Z,2026-03-07T20:10:00Z,metro,Comer o Tomar algo,other,Pudahuel,Vitacura,1.036,-180,<200k,STOP_1074,SEC_012,5
m00088,u0040,t00088,0,-70.56042936382998,-33.37606724979837,-70.5307034844918,-33.35337701588577,2026-03-08T03:25:00Z,2026-03-08T04:00:00Z,bus,Trámites,unknown,San Miguel,Puente Alto,2.763,-180,<200k,STOP_2029,SEC_169,6
m00089,u0221,t00089,0,-70.633087005496,-33.45533616990291,-70.64718178953187,-33.45694317795557,2026-03-04T12:05:00Z,2026-03-04T12:25:00Z,taxi,Buscar o dejar algo,unknown,Independencia,San Miguel,4.338,-180,400k-800k,STOP_0147,SEC_293,7
m00090,u0042,t00090,0,-70.66427431633167,-33.55741277914056,-70.63592067645621,-33.58789979428614,2026-03-01T06:34:00Z,2026-03-01T07:32:00Z,bicycle,Por trabajo,other,Quilicura,Vitacura,3.571,-180,no_income,STOP_2119,SEC_229,3
m00091,u0149,t00091,0,-70.70289981616042,-33.52194162513258,-70.75756605204607,-33.51486226162084,2026-03-04T12:50:00Z,2026-03-04T13:52:00Z,taxi,volver a casa,male,Santiago,Puente Alto,4.58,-180,200k-400k,STOP_1115,SEC_261,6
m00092,u0497,t00092,0,-70.68476215001165,-33.57796157795807,-70.6206351978231,-33.58694786941372,2026-03-02T02:17:00Z,2026-03-02T03:10:00Z,bicycle,errand,unknown,Pudahuel,Maipú,1.19,-180,no_income,STOP_3469,SEC_163,6
m00093,u0427,t00093,0,-70.54771954293366,-33.34537030031818,-70.49433992562027,-33.38085760657411,2026-03-07T02:24:00Z,2026-03-07T02:35:00Z,ride_hailing,Buscar o Dejar a alguien,other,Pudahuel,Independencia,1.933,-180,no_income,STOP_2222,SEC_352,7
m00094,u0505,t00094,0,-70.57946344881883,-33.33854047597368,-70.59216518628729,-33.29755210902804,2026-03-01T23:33:00Z,2026-03-02T01:25:00Z,other,Al estudio,unknown,Vitacura,Vitacura,2.095,-180,800k+,STOP_2909,SEC_301,6
m00095,u0126,t00095,0,-70.56631531442672,-33.540163109724965,-70.5425181119411,-33.570458540700024,2026-03-05T12:39:00Z,2026-03-05T13:12:00Z,walk,shopping,unknown,Independencia,Recoleta,4.371,-180,200k-400k,STOP_1478,SEC_387,2
m00096,u0160,t00096,0,-70.59367606871989,-33.313484997182776,-70.5792672550985,-33.32765269599096,2026-03-05T06:16:00Z,2026-03-05T07:46:00Z,taxi,Por trabajo,unknown,Quilicura,Las Condes,4.764,-180,200k-400k,STOP_0149,SEC_166,8
m00097,u0320,t00097,0,-70.69299890847739,-33.298852937046924,-70.65936586494719,-33.26841309089471,2026-03-06T03:42:00Z,2026-03-06T04:04:00Z,train,shopping,female,Estación Central,Las Condes,0.785,-180,<200k,STOP_2032,SEC_121,7
m00098,u0189,t00098,0,-70.79059294024734,-33.45337594209424,-70.76677614570328,-33.478969040244884,2026-03-05T18:07:00Z,2026-03-05T18:53:00Z,bus,Al trabajo,female,Las Condes,Ñuñoa,0.793,-180,no_income,STOP_2719,SEC_412,7
m00099,u0283,t00099,0,-70.6515347139849,-33.462434748824975,-70.59167676553348,-33.476238467707795,2026-03-07T13:19:00Z,2026-03-07T15:03:00Z,bicycle,leisure,other,Santiago,Vitacura,1.883,-180,<200k,STOP_4397,SEC_268,2
m00100,u0393,t00100,0,-70.40975974551905,-33.42529600270314,-70.37731297793691,-33.47825540928233,2026-03-02T05:23:00Z,2026-03-02T07:16:00Z,bicycle,Buscar o Dejar a alguien,unknown,Las Condes,Puente Alto,3.226,-180,no_income,STOP_0431,SEC_165,2
m00101,u0579,t00101,0,-70.47061165706262,-33.40243163077271,-70.40420793956778,-33.391076471566954,2026-03-05T05:44:00Z,2026-03-05T06:28:00Z,other,errand,unknown,Estación Central,Ñuñoa,2.536,-180,800k+,STOP_4055,SEC_165,7
m00102,u0225,t00102,0,-70.66438411819139,-33.37989959748415,-70.65926327428417,-33.387015708966565,2026-03-05T14:08:00Z,2026-03-05T15:23:00Z,walk,Al estudio,unknown,San Miguel,Puente Alto,3.757,-180,no_income,STOP_1704,SEC_272,1
m00103,u0513,t00103,0,-70.68690156026572,-33.47109503923431,-70.71184827758614,-33.43223408426155,2026-03-07T21:25:00Z,2026-03-07T22:46:00Z,motorcycle,Por trabajo,other,Puente Alto,Puente Alto,2.81,-180,<200k,STOP_3189,SEC_063,1
