movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,origin_h3_index,destination_h3_index,mode,purpose,day_type,time_period,user_gender,trip_weight,origin_municipality,destination_municipality,household_id,source_person_id,stage_count,activity_destination,travel_time_min,fare_amount
m00010,u0315,t00010,0,-70.81920130022414,-33.51699707232682,-70.83390511887055,-33.46941695739802,2026-03-02T08:42:00-03:00,2026-03-02T10:34:00-03:00,88b2c54017fffff,88b2c54227fffff,bicycle,errand,weekend,evening,female,1.186,Pudahuel,Quilicura,H00559,P00143,1,salud,112.0,1200.0
m00011,u0585,t00011,0,-70.62984476931871,-33.43116413053521,-70.65894771659157,-33.42450464720492,2026-03-05T09:22:00-03:00,2026-03-05T10:36:00-03:00,88b2c556a1fffff,88b2c55457fffff,car,transfer,weekend,evening,female,1.663,Puente Alto,Vitacura,H00509,P00000,4,salud,74.0,1200.0
m00012,u0441,t00012,0,-70.5584484783517,-33.32111070812003,-70.47358147894907,-33.27959909728424,2026-03-04T10:20:00-03:00,2026-03-04T11:35:00-03:00,88b2c51b01fffff,88b2c5c4b5fffff,scooter,education,weekend,morning,unknown,2.848,Puente Alto,Maipú,H00499,P00355,4,estudio,75.0,800.0
m00013,u0456,t00013,0,-70.82583355655822,-33.547789945003196,-70.78570532177352,-33.52856807169711,2026-03-01T22:59:00-03:00,2026-03-01T23:13:00-03:00,88b2c540adfffff,88b2c540c3fffff,car,education,holiday,afternoon,male,3.799,Independencia,Estación Central,H00124,P00586,3,compra,14.0,800.0
m00014,u0430,t00014,0,-70.66079045153732,-33.43007711021545,-70.62791296349297,-33.38125507003151,2026-03-05T21:52:00-03:00,2026-03-05T22:56:00-03:00,88b2c5541dfffff,88b2c55619fffff,ride_hailing,education,weekend,midday,female,2.292,Puente Alto,Santiago,H00474,P00021,2,compra,64.0,800.0
m00015,u0471,t00015,0,-70.63261576016914,-33.30429609193495,-70.60956419250041,-33.3060673584541,2026-03-05T00:14:00-03:00,2026-03-05T01:03:00-03:00,88b2c5cc13fffff,88b2c5cccbfffff,motorcycle,errand,weekend,midday,male,1.548,Santiago,Estación Central,H00220,P00248,4,estudio,49.0,800.0
m00016,u0307,t00016,0,-70.69007645848467,-33.582140731854345,-70.73020915409914,-33.51043405053479,2026-03-01T20:41:00-03:00,2026-03-01T21:41:00-03:00,88b2c54439fffff,88b2c54741fffff,bicycle,transfer,weekday,morning,other,1.828,Las Condes,Providencia,H00546,P00397,3,compra,60.0,0.0
m00017,u0076,t00017,0,-70.84521618554011,-33.55248553654767,-70.79411497787049,-33.56704742263509,2026-03-04T12:38:00-03:00,2026-03-04T13:13:00-03:00,88b2c5419dfffff,88b2c540b3fffff,car,errand,holiday,afternoon,other,0.928,Vitacura,Independencia,H00594,P00258,4,compra,35.0,0.0
m00018,u0503,t00018,0,-70.69256981100737,-33.48388852851687,-70.72629511732785,-33.5068823835428,2026-03-06T08:55:00-03:00,2026-03-06T09:23:00-03:00,88b2c55583fffff,88b2c54741fffff,bus,education,weekend,evening,male,0.613,Puente Alto,Independencia,H00367,P00390,3,trabajo,28.0,1200.0
m00019,u0270,t00019,0,-70.6927305430255,-33.49164707302844,-70.68139907109948,-33.52794865851911,2026-03-03T12:57:00-03:00,2026-03-03T14:51:00-03:00,88b2c55595fffff,88b2c54621fffff,ride_hailing,other,holiday,afternoon,female,4.879,Providencia,Recoleta,H00547,P00427,4,salud,114.0,900.0
m00020,u0300,t00020,0,-70.67480724045477,-33.38499189697971,-70.74038283667335,-33.31506115683297,2026-03-03T17:57:00-03:00,2026-03-03T19:06:00-03:00,88b2c5562dfffff,88b2c5cd3dfffff,motorcycle,health,holiday,evening,unknown,0.934,Estación Central,Estación Central,H00319,P00579,2,recreación,69.0,900.0
m00021,u0222,t00021,0,-70.7163471425425,-33.430667222414336,-70.7979814965684,-33.4060837952358,2026-03-02T00:30:00-03:00,2026-03-02T01:22:00-03:00,88b2c55551fffff,88b2c550a9fffff,motorcycle,shopping,weekday,evening,other,1.062,Estación Central,San Miguel,H00020,P00362,1,salud,52.0,900.0
m00022,u0109,t00022,0,-70.70430121532414,-33.591996964771376,-70.69156956721801,-33.60202058677279,2026-03-02T16:19:00-03:00,2026-03-02T16:32:00-03:00,88b2c54435fffff,88b2c545d9fffff,ride_hailing,home,weekend,night,unknown,4.419,La Florida,Providencia,H00524,P00425,2,recreación,13.0,800.0
m00023,u0556,t00023,0,-70.6639706282347,-33.40876716776794,-70.69633459892249,-33.37129648686174,2026-03-08T02:49:00-03:00,2026-03-08T04:21:00-03:00,88b2c5544bfffff,88b2c5575dfffff,bicycle,health,weekend,evening,male,3.486,Recoleta,Recoleta,H00318,P00181,4,compra,92.0,1520.0
m00024,u0468,t00024,0,-70.61575453950303,-33.49620311098845,-70.69532124235492,-33.47557234543492,2026-03-05T14:17:00-03:00,2026-03-05T15:16:00-03:00,88b2c50961fffff,88b2c5558bfffff,train,health,weekday,evening,female,2.462,Pudahuel,Maipú,H00026,P00090,3,trabajo,59.0,800.0
m00025,u0386,t00025,0,-70.69044267628567,-33.3480442226447,-70.66881829616779,-33.28906039850344,2026-03-02T11:34:00-03:00,2026-03-02T12:23:00-03:00,88b2c5cd87fffff,88b2c5cc05fffff,train,other,weekday,midday,male,3.421,Santiago,Recoleta,H00039,P00059,3,estudio,49.0,900.0
m00026,u0241,t00026,0,-70.7009648928368,-33.500207002914955,-70.61616166199477,-33.546641987897154,2026-03-04T15:06:00-03:00,2026-03-04T16:27:00-03:00,88b2c555b1fffff,88b2c546c3fffff,walk,education,weekend,afternoon,male,4.707,Maipú,Puente Alto,H00433,P00065,3,recreación,81.0,900.0
m00027,u0493,t00027,0,-70.65076459617455,-33.50092922264818,-70.59518218583135,-33.50889002589761,2026-03-02T14:22:00-03:00,2026-03-02T14:42:00-03:00,88b2c5464bfffff,88b2c50901fffff,other,work,weekday,afternoon,other,0.947,San Miguel,Santiago,H00554,P00496,3,trabajo,20.0,0.0
m00028,u0327,t00028,0,-70.85209159258952,-33.40670947113564,-70.86238430800014,-33.420585112653924,2026-03-04T08:22:00-03:00,2026-03-04T09:28:00-03:00,88b2c5518dfffff,88b2c551abfffff,walk,other,weekend,afternoon,other,1.597,San Miguel,Recoleta,H00418,P00024,1,compra,66.0,760.0
m00029,u0266,t00029,0,-70.61229648727735,-33.38896588141305,-70.61194267500947,-33.44817636170531,2026-03-02T06:27:00-03:00,2026-03-02T08:11:00-03:00,88b2c51927fffff,88b2c554d9fffff,taxi,errand,holiday,evening,female,4.371,Maipú,Providencia,H00264,P00290,2,trabajo,104.0,760.0
m00030,u0270,t00030,0,-70.66005630971229,-33.41415205088511,-70.62454805944093,-33.382342234741714,2026-03-05T13:57:00-03:00,2026-03-05T14:55:00-03:00,88b2c5545dfffff,88b2c55619fffff,bus,home,weekday,night,other,4.013,Santiago,Maipú,H00184,P00368,1,estudio,58.0,760.0
m00031,u0136,t00031,0,-70.65603064734024,-33.584847785390785,-70.61114552654685,-33.59295968206489,2026-03-05T05:47:00-03:00,2026-03-05T05:52:00-03:00,88b2c544cdfffff,88b2c57367fffff,motorcycle,home,weekday,night,male,4.974,Estación Central,Recoleta,H00251,P00403,2,trabajo,5.0,0.0
m00032,u0055,t00032,0,-70.56392656924055,-33.406957244805746,-70.57766799799357,-33.38476830865615,2026-03-05T16:25:00-03:00,2026-03-05T16:56:00-03:00,88b2c519a9fffff,88b2c5193bfffff,scooter,errand,weekday,morning,other,1.913,Recoleta,Vitacura,H00193,P00039,3,trabajo,31.0,760.0
m00033,u0332,t00033,0,-70.85528155300482,-33.532744644133956,-70.85391444437583,-33.46195148610407,2026-03-04T08:32:00-03:00,2026-03-04T08:43:00-03:00,88b2c541c1fffff,88b2c54357fffff,walk,health,holiday,midday,male,4.752,Pudahuel,Maipú,H00163,P00516,4,trabajo,11.0,1520.0
m00034,u0532,t00034,0,-70.85738338698589,-33.43117791107294,-70.84535879471531,-33.44177522182777,2026-03-03T06:02:00-03:00,2026-03-03T07:04:00-03:00,88b2c551b5fffff,88b2c54359fffff,metro,education,holiday,evening,other,2.047,La Florida,Maipú,H00077,P00262,1,compra,62.0,800.0
m00035,u0038,t00035,0,-70.63261961546765,-33.563898754831925,-70.61046456265649,-33.57653334431164,2026-03-02T23:55:00-03:00,2026-03-03T00:41:00-03:00,88b2c546abfffff,88b2c54697fffff,walk,shopping,holiday,afternoon,other,3.718,San Miguel,Maipú,H00341,P00010,3,salud,46.0,1200.0
m00036,u0514,t00036,0,-70.66071168551285,-33.41429422819656,-70.66603474319331,-33.41073430310484,2026-03-02T18:08:00-03:00,2026-03-02T18:28:00-03:00,88b2c5545dfffff,88b2c5544bfffff,taxi,leisure,weekday,night,male,4.472,La Florida,Recoleta,H00131,P00079,1,estudio,20.0,800.0
m00037,u0496,t00037,0,-70.6429823056808,-33.51452791234459,-70.64778571548355,-33.48491049175509,2026-03-04T06:08:00-03:00,2026-03-04T07:31:00-03:00,88b2c54657fffff,88b2c554bdfffff,car,other,weekend,afternoon,female,1.269,La Florida,Las Condes,H00086,P00515,1,recreación,83.0,1200.0
m00038,u0166,t00038,0,-70.70621270751724,-33.55261077202084,-70.65101941432707,-33.569612162780146,2026-03-04T09:50:00-03:00,2026-03-04T10:15:00-03:00,88b2c54469fffff,88b2c546a5fffff,other,errand,weekday,midday,other,1.425,Independencia,San Miguel,H00165,P00565,4,estudio,25.0,1200.0
m00039,u0378,t00039,0,-70.593564632576,-33.39289438908141,-70.54518380447828,-33.411823236995374,2026-03-05T23:09:00-03:00,2026-03-05T23:53:00-03:00,88b2c51935fffff,88b2c51987fffff,other,shopping,weekend,morning,unknown,3.114,Estación Central,Quilicura,H00479,P00451,3,salud,44.0,1520.0
m00040,u0099,t00040,0,-70.56673611570089,-33.43066843826586,-70.54763969276345,-33.39895276015862,2026-03-01T14:48:00-03:00,2026-03-01T16:46:00-03:00,88b2c50b49fffff,88b2c5198dfffff,metro,shopping,weekday,afternoon,male,4.297,Pudahuel,Providencia,H00343,P00200,1,compra,118.0,760.0
m00041,u0454,t00041,0,-70.61160177060485,-33.499118144111435,-70.54283740780393,-33.48775896439629,2026-03-03T05:19:00-03:00,2026-03-03T05:31:00-03:00,88b2c5096bfffff,88b2c5086bfffff,metro,work,weekend,morning,unknown,0.855,Independencia,Estación Central,H00294,P00568,1,salud,12.0,0.0
m00042,u0420,t00042,0,-70.68608284584046,-33.33390569207832,-70.70154067632951,-33.395247539968466,2026-03-07T05:14:00-03:00,2026-03-07T05:47:00-03:00,88b2c5cd89fffff,88b2c5571dfffff,taxi,home,holiday,afternoon,female,4.329,Santiago,San Miguel,H00355,P00165,1,recreación,33.0,760.0
m00043,u0212,t00043,0,-70.87076893876144,-33.48525219372558,-70.80585000081626,-33.52201394770965,2026-03-07T15:45:00-03:00,2026-03-07T16:26:00-03:00,88b2c54333fffff,88b2c540c5fffff,motorcycle,transfer,holiday,night,unknown,2.044,San Miguel,Recoleta,H00339,P00140,2,recreación,41.0,1200.0
m00044,u0040,t00044,0,-70.58307637919629,-33.44743138608233,-70.56137576145487,-33.402394310167516,2026-03-07T18:23:00-03:00,2026-03-07T19:26:00-03:00,88b2c50b6bfffff,88b2c519e3fffff,bicycle,home,weekday,morning,unknown,2.328,Estación Central,Recoleta,H00298,P00458,1,compra,63.0,900.0
m00045,u0582,t00045,0,-70.53782713337824,-33.42848692418571,-70.40698608848966,-33.41642907569335,2026-03-03T09:27:00-03:00,2026-03-03T10:00:00-03:00,88b2c519bbfffff,88b2c50159fffff,other,transfer,weekday,midday,male,2.029,Puente Alto,Estación Central,H00504,P00193,3,recreación,33.0,1200.0
m00046,u0267,t00046,0,-70.5955441588016,-33.499573274730295,-70.6432434358729,-33.52243915266141,2026-03-02T05:02:00-03:00,2026-03-02T06:58:00-03:00,88b2c50909fffff,88b2c5461dfffff,car,education,weekday,afternoon,female,4.602,San Miguel,Independencia,H00438,P00311,2,salud,116.0,1520.0
m00047,u0535,t00047,0,-70.74796424273674,-33.412309096528006,-70.77553805282544,-33.41742138624505,2026-03-02T15:17:00-03:00,2026-03-02T15:22:00-03:00,88b2c5554dfffff,88b2c550bbfffff,car,leisure,weekday,evening,other,1.089,Maipú,Vitacura,H00111,P00396,3,estudio,5.0,760.0
m00048,u0406,t00048,0,-70.59262056063322,-33.49267618777318,-70.5758686475052,-33.492279087589125,2026-03-02T04:09:00-03:00,2026-03-02T06:03:00-03:00,88b2c50943fffff,88b2c5095dfffff,bicycle,other,weekend,morning,unknown,3.084,Las Condes,Maipú,H00490,P00099,1,recreación,114.0,800.0
m00049,u0467,t00049,0,-70.57394702920385,-33.4829310657773,-70.5580576670847,-33.46085906496889,2026-03-07T22:22:00-03:00,2026-03-07T23:28:00-03:00,88b2c50b37fffff,88b2c50b1dfffff,motorcycle,leisure,weekend,evening,female,1.166,Independencia,Ñuñoa,H00105,P00555,1,trabajo,66.0,800.0
m00050,u0455,t00050,0,-70.50411837522009,-33.34098858881573,-70.42611281585309,-33.381736490661496,2026-03-07T10:24:00-03:00,2026-03-07T10:33:00-03:00,88b2c5185dfffff,88b2c50363fffff,ride_hailing,leisure,holiday,evening,other,4.679,Maipú,Independencia,H00046,P00099,1,compra,9.0,0.0
m00051,u0116,t00051,0,-70.74761099242279,-33.533246884201,-70.77434597975477,-33.558475358361115,2026-03-06T22:10:00-03:00,2026-03-06T22:28:00-03:00,88b2c54729fffff,88b2c54097fffff,car,education,holiday,morning,unknown,4.091,Recoleta,Las Condes,H00252,P00595,1,trabajo,18.0,900.0
m00052,u0218,t00052,0,-70.68264545845442,-33.64302242647436,-70.64644871770666,-33.63483375382846,2026-03-06T08:36:00-03:00,2026-03-06T08:52:00-03:00,88b2c57a45fffff,88b2c544b3fffff,ride_hailing,health,holiday,night,female,1.552,Recoleta,Providencia,H00235,P00166,1,salud,16.0,0.0
m00053,u0280,t00053,0,-70.58527279488565,-33.32112504039905,-70.53877427469837,-33.324120077813916,2026-03-03T15:38:00-03:00,2026-03-03T16:16:00-03:00,88b2c51b2dfffff,88b2c51b1dfffff,scooter,health,weekday,morning,other,1.84,Quilicura,Las Condes,H00471,P00250,2,recreación,38.0,1520.0
m00054,u0298,t00054,0,-70.65425899285619,-33.246053763791444,-70.62607307956736,-33.22889798831234,2026-03-04T13:54:00-03:00,2026-03-04T14:37:00-03:00,88b2c5ce29fffff,88b2c5ce55fffff,walk,shopping,weekday,afternoon,female,2.217,Estación Central,Ñuñoa,H00417,P00151,4,recreación,43.0,0.0
m00055,u0026,t00055,0,-70.77173276020513,-33.48242154123595,-70.8101726138821,-33.51930676315674,2026-03-07T03:21:00-03:00,2026-03-07T04:39:00-03:00,88b2c5428dfffff,88b2c54013fffff,train,home,weekend,afternoon,female,2.324,San Miguel,Providencia,H00035,P00323,3,trabajo,78.0,0.0
m00056,u0327,t00056,0,-70.61853837149732,-33.60494704324962,-70.56222801928716,-33.594233182961474,2026-03-06T22:48:00-03:00,2026-03-06T23:28:00-03:00,88b2c544d3fffff,88b2c57357fffff,car,other,holiday,afternoon,male,4.178,Santiago,Pudahuel,H00299,P00000,2,estudio,40.0,760.0
m00057,u0092,t00057,0,-70.60213383661848,-33.474838718095675,-70.55296083936587,-33.44209120951435,2026-03-04T21:09:00-03:00,2026-03-04T22:37:00-03:00,88b2c5549bfffff,88b2c50b5dfffff,motorcycle,work,holiday,afternoon,male,3.04,Recoleta,Recoleta,H00477,P00102,4,estudio,88.0,1520.0
m00058,u0446,t00058,0,-70.6512037103669,-33.472897835987254,-70.62722032957528,-33.45829327957278,2026-03-07T02:42:00-03:00,2026-03-07T03:20:00-03:00,88b2c554a9fffff,88b2c554d5fffff,motorcycle,other,weekend,night,female,2.426,Vitacura,Las Condes,H00439,P00311,4,trabajo,38.0,1520.0
m00059,u0409,t00059,0,-70.638041507282,-33.46519390728179,-70.62986759979364,-33.461020555088936,2026-03-03T16:15:00-03:00,2026-03-03T16:50:00-03:00,88b2c55481fffff,88b2c55489fffff,bus,other,weekday,midday,unknown,3.738,La Florida,Ñuñoa,H00300,P00416,4,compra,35.0,1520.0
m00060,u0553,t00060,0,-70.68587059016858,-33.53907104335375,-70.6768262697668,-33.54194755143073,2026-03-04T03:28:00-03:00,2026-03-04T04:04:00-03:00,88b2c54449fffff,88b2c54635fffff,ride_hailing,home,weekday,evening,female,2.56,San Miguel,Estación Central,H00369,P00577,4,trabajo,36.0,1200.0
m00061,u0446,t00061,0,-70.5121721064284,-33.40363510860188,-70.51532153811797,-33.428680643185025,2026-03-07T03:03:00-03:00,2026-03-07T03:45:00-03:00,88b2c519d3fffff,88b2c50a45fffff,car,leisure,weekday,morning,unknown,1.077,Pudahuel,Vitacura,H00337,P00502,3,salud,42.0,1520.0
m00062,u0219,t00062,0,-70.75006921837127,-33.408039409977114,-70.72443781300116,-33.41019936775031,2026-03-03T21:14:00-03:00,2026-03-03T22:55:00-03:00,88b2c5509bfffff,88b2c55735fffff,other,health,weekend,evening,female,0.984,La Florida,Providencia,H00138,P00553,4,compra,101.0,800.0
m00063,u0580,t00063,0,-70.71873207627637,-33.56955244958555,-70.71748668215857,-33.53176127399914,2026-03-06T12:21:00-03:00,2026-03-06T12:54:00-03:00,88b2c5442dfffff,88b2c5471dfffff,train,education,weekend,night,other,1.967,Puente Alto,Recoleta,H00338,P00479,2,compra,33.0,0.0
m00064,u0246,t00064,0,-70.65890144864724,-33.394064261464415,-70.69284244766135,-33.39763511666242,2026-03-04T10:09:00-03:00,2026-03-04T10:45:00-03:00,88b2c5563dfffff,88b2c55711fffff,scooter,transfer,weekend,evening,other,3.213,La Florida,Maipú,H00405,P00465,4,recreación,36.0,800.0
m00065,u0195,t00065,0,-70.57210459722991,-33.285785201444334,-70.61404826302301,-33.31247932112478,2026-03-03T08:02:00-03:00,2026-03-03T09:57:00-03:00,88b2c5ce91fffff,88b2c5ccc3fffff,bus,work,weekday,afternoon,male,1.107,Quilicura,Puente Alto,H00033,P00207,1,salud,115.0,760.0
m00066,u0543,t00066,0,-70.80973731700945,-33.43624317340504,-70.83981876715553,-33.451010586068,2026-03-02T18:45:00-03:00,2026-03-02T20:05:00-03:00,88b2c54247fffff,88b2c5435bfffff,other,education,weekend,afternoon,male,2.976,La Florida,Recoleta,H00417,P00543,2,estudio,80.0,760.0
m00067,u0222,t00067,0,-70.79102967497654,-33.47698601296548,-70.78214438527456,-33.470960504047206,2026-03-05T11:55:00-03:00,2026-03-05T12:21:00-03:00,88b2c542e1fffff,88b2c542e9fffff,taxi,other,weekday,afternoon,unknown,1.713,Maipú,Estación Central,H00149,P00577,4,compra,26.0,1200.0
m00068,u0045,t00068,0,-70.86377285077347,-33.461360257152606,-70.86485108423088,-33.47256567706803,2026-03-04T14:34:00-03:00,2026-03-04T16:18:00-03:00,88b2c5430bfffff,88b2c54315fffff,walk,leisure,weekend,evening,female,3.629,Recoleta,Recoleta,H00004,P00308,1,recreación,104.0,760.0
m00069,u0281,t00069,0,-70.65673047747467,-33.40077945864252,-70.64811672574312,-33.386220360150624,2026-03-03T20:03:00-03:00,2026-03-03T20:29:00-03:00,88b2c55635fffff,88b2c55603fffff,bicycle,work,weekend,morning,unknown,0.627,Independencia,Estación Central,H00453,P00072,3,recreación,26.0,760.0
m00070,u0477,t00070,0,-70.77183058172065,-33.588453728440584,-70.7517980563788,-33.572768415618114,2026-03-06T10:51:00-03:00,2026-03-06T11:14:00-03:00,88b2c5452bfffff,88b2c54509fffff,bus,work,weekday,night,other,2.611,Vitacura,Quilicura,H00233,P00025,2,salud,23.0,800.0
m00071,u0113,t00071,0,-70.69845501100178,-33.43684874376182,-70.72354784803846,-33.410179248349685,2026-03-01T06:10:00-03:00,2026-03-01T07:06:00-03:00,88b2c55421fffff,88b2c55735fffff,train,education,weekend,evening,unknown,0.735,Vitacura,Pudahuel,H00247,P00296,1,trabajo,56.0,0.0
m00072,u0277,t00072,0,-70.59386218101082,-33.48123711595703,-70.53523577427701,-33.438530331789075,2026-03-01T21:29:00-03:00,2026-03-01T22:53:00-03:00,88b2c50949fffff,88b2c50a65fffff,bicycle,home,weekday,night,male,1.987,Pudahuel,Quilicura,H00374,P00380,1,compra,84.0,1200.0
m00073,u0077,t00073,0,-70.72415427207828,-33.30217399896352,-70.73486270516018,-33.27229823723235,2026-03-07T23:35:00-03:00,2026-03-08T00:01:00-03:00,88b2c5cd0bfffff,88b2c5cd4dfffff,ride_hailing,work,weekend,afternoon,male,0.57,Pudahuel,Quilicura,H00336,P00332,3,recreación,26.0,1200.0
m00074,u0411,t00074,0,-70.63687179772566,-33.4639338187044,-70.65420887711691,-33.49196099062883,2026-03-05T21:28:00-03:00,2026-03-05T22:59:00-03:00,88b2c55489fffff,88b2c54649fffff,taxi,health,weekend,morning,other,2.611,La Florida,Ñuñoa,H00372,P00537,3,trabajo,91.0,900.0
m00075,u0285,t00075,0,-70.68993379077517,-33.316568991110444,-70.67063834128187,-33.34367502450773,2026-03-05T02:20:00-03:00,2026-03-05T02:43:00-03:00,88b2c5cdcdfffff,88b2c5cd9dfffff,motorcycle,home,weekend,evening,other,3.952,Maipú,Estación Central,H00566,P00321,3,compra,23.0,0.0
m00076,u0198,t00076,0,-70.59278856849035,-33.538299255822565,-70.66624897658535,-33.54057240011636,2026-03-01T08:28:00-03:00,2026-03-01T10:02:00-03:00,88b2c546d9fffff,88b2c54631fffff,ride_hailing,education,weekday,evening,unknown,0.951,San Miguel,Vitacura,H00390,P00396,1,compra,94.0,1200.0
m00077,u0136,t00077,0,-70.6124871932652,-33.40301926665578,-70.64410857125411,-33.416554527372966,2026-03-05T10:32:00-03:00,2026-03-05T10:48:00-03:00,88b2c556c7fffff,88b2c5545bfffff,train,education,weekend,midday,unknown,3.809,Independencia,Recoleta,H00027,P00454,2,estudio,16.0,800.0
m00078,u0338,t00078,0,-70.72919336961746,-33.4244479788967,-70.6899504576698,-33.45859778070553,2026-03-04T07:02:00-03:00,2026-03-04T08:00:00-03:00,88b2c5555dfffff,88b2c555cbfffff,scooter,other,holiday,midday,female,3.129,San Miguel,Independencia,H00133,P00536,1,estudio,58.0,760.0
m00079,u0401,t00079,0,-70.67686517534004,-33.519523779829186,-70.74636205250252,-33.532774533654376,2026-03-05T10:46:00-03:00,2026-03-05T12:04:00-03:00,88b2c54605fffff,88b2c54729fffff,walk,other,weekend,midday,female,2.771,Las Condes,Vitacura,H00269,P00365,1,recreación,78.0,1520.0
m00080,u0564,t00080,0,-70.55562566022795,-33.435808310829046,-70.51092269235062,-33.45004369883762,2026-03-01T12:53:00-03:00,2026-03-01T13:28:00-03:00,88b2c50b4bfffff,88b2c50a05fffff,motorcycle,transfer,holiday,midday,unknown,3.198,Santiago,Las Condes,H00283,P00334,2,compra,35.0,1520.0
m00081,u0262,t00081,0,-70.62066231297459,-33.35299849305348,-70.56021685032022,-33.373153925246314,2026-03-05T02:30:00-03:00,2026-03-05T03:45:00-03:00,88b2c5ccb3fffff,88b2c51919fffff,motorcycle,shopping,holiday,evening,male,2.012,Santiago,Santiago,H00216,P00046,3,recreación,75.0,800.0
m00082,u0096,t00082,0,-70.7996962057751,-33.47590333634293,-70.81447441928806,-33.48537702092758,2026-03-05T07:04:00-03:00,2026-03-05T08:28:00-03:00,88b2c542edfffff,88b2c5405dfffff,bus,errand,weekday,morning,other,3.697,Puente Alto,Estación Central,H00110,P00385,2,compra,84.0,800.0
m00083,u0499,t00083,0,-70.59443819388285,-33.58535701193358,-70.5827656831858,-33.55000348642403,2026-03-03T06:43:00-03:00,2026-03-03T08:02:00-03:00,88b2c5736bfffff,88b2c509adfffff,taxi,errand,holiday,evening,female,4.008,Quilicura,San Miguel,H00063,P00107,1,recreación,79.0,1520.0
m00084,u0377,t00084,0,-70.76846106224362,-33.451405026118195,-70.72369757884958,-33.445427884880715,2026-03-01T15:09:00-03:00,2026-03-01T15:59:00-03:00,88b2c55521fffff,88b2c5551dfffff,walk,transfer,weekday,afternoon,female,4.002,Quilicura,Pudahuel,H00086,P00221,1,salud,50.0,760.0
