movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,origin_h3_index,destination_h3_index,mode,purpose,user_gender,origin_municipality,destination_municipality,trip_weight,timezone_offset_min,origin_stop_id,household_vehicle_count
m00027,u0082,t00027,0,-70.71777555364997,-33.490293791453404,-70.70002629351298,-33.39647561557071,2026-03-03T22:33:00Z,2026-03-03T22:49:00Z,88b2c555abfffff,88b2c5571dfffff,bicycle,transfer,male,Recoleta,Pudahuel,1.776,-180,STOP_1902,2
m00028,u0003,t00028,0,-70.57332532670034,-33.472981738596246,-70.55071295591644,-33.4459836121869,2026-03-02T13:28:00Z,2026-03-02T14:41:00Z,88b2c50b3dfffff,88b2c50b51fffff,bicycle,work,male,La Florida,Maipú,4.703,-180,STOP_3232,2
m00029,u0090,t00029,0,-70.63522893535011,-33.424937870288524,-70.59960661702492,-33.401613515000854,2026-03-04T06:19:00Z,2026-03-04T08:18:00Z,88b2c556adfffff,88b2c556c3fffff,taxi,errand,female,La Florida,San Miguel,2.99,-180,STOP_1657,2
m00030,u0023,t00030,0,-70.62825050498068,-33.41753714010922,-70.628271157062,-33.444811314272954,2026-03-02T19:27:00Z,2026-03-02T21:00:00Z,88b2c556e3fffff,88b2c554cbfffff,train,transfer,male,Providencia,Maipú,1.625,-180,STOP_0072,0
m00031,u0137,t00031,0,-70.70318954891967,-33.5145647914945,-70.70009331552583,-33.52165286385176,2026-03-06T11:32:00Z,2026-03-06T12:39:00Z,88b2c54759fffff,88b2c54753fffff,walk,health,unknown,Puente Alto,La Florida,2.966,-180,STOP_4783,2
m00032,u0083,t00032,0,-70.75761427750871,-33.43085624999653,-70.76265973335597,-33.49148666671323,2026-03-06T06:12:00Z,2026-03-06T06:42:00Z,88b2c5556bfffff,88b2c5428bfffff,other,education,other,Pudahuel,Las Condes,2.013,-180,STOP_0551,2
m00033,u0020,t00033,0,-70.94297351023037,-33.48779629959204,-70.984069820542,-33.520480340276215,2026-03-05T22:00:00Z,2026-03-05T22:40:00Z,88b2c558b9fffff,88b2c54a63fffff,other,other,male,Ñuñoa,Maipú,1.561,-180,STOP_0401,1
m00034,u0009,t00034,0,-70.56092481310294,-33.522869756234826,-70.49861932248297,-33.47569897043281,2026-03-02T05:41:00Z,2026-03-02T05:58:00Z,88b2c509cdfffff,88b2c50ae5fffff,walk,shopping,female,Pudahuel,Ñuñoa,4.599,-180,STOP_3414,3
m00035,u0032,t00035,0,-70.56440222258313,-33.4609278379349,-70.46240102138502,-33.459655701290394,2026-03-04T08:35:00Z,2026-03-04T09:22:00Z,88b2c50b03fffff,88b2c50ac9fffff,scooter,health,female,Pudahuel,Recoleta,3.093,-180,STOP_2337,0
m00036,u0038,t00036,0,-70.50501732434381,-33.49484222920065,-70.56634751919988,-33.537109872607935,2026-03-05T11:31:00Z,2026-03-05T12:30:00Z,88b2c50853fffff,88b2c509ebfffff,car,leisure,unknown,Pudahuel,San Miguel,2.947,-180,STOP_4231,0
m00037,u0090,t00037,0,-70.72738448034104,-33.63012388820951,-70.7518636190167,-33.641444020447544,2026-03-01T19:42:00Z,2026-03-01T19:59:00Z,88b2c545abfffff,88b2c54e9bfffff,ride_hailing,education,other,Ñuñoa,San Miguel,1.759,-180,STOP_2902,0
m00038,u0115,t00038,0,-70.70117742384284,-33.48302113413784,-70.71303254905054,-33.45021507695384,2026-03-06T14:40:00Z,2026-03-06T15:40:00Z,88b2c55581fffff,88b2c5551bfffff,metro,shopping,unknown,Las Condes,Quilicura,3.124,-180,STOP_4827,3
m00039,u0100,t00039,0,-70.65895616530511,-33.50516334963383,-70.697903083263,-33.515154134141895,2026-03-05T01:47:00Z,2026-03-05T02:32:00Z,88b2c54643fffff,88b2c5475bfffff,ride_hailing,leisure,male,Vitacura,San Miguel,2.662,-180,STOP_4899,3
m00040,u0009,t00040,0,-70.64889078535559,-33.44573312833118,-70.64163595979943,-33.41985827283801,2026-03-06T23:04:00Z,2026-03-06T23:38:00Z,88b2c55413fffff,88b2c5545bfffff,train,shopping,male,Vitacura,Ñuñoa,0.521,-180,STOP_1977,1
m00041,u0024,t00041,0,-70.74137719865602,-33.4190628928455,-70.7047851080599,-33.39317374782633,2026-03-06T02:33:00Z,2026-03-06T03:29:00Z,88b2c55541fffff,88b2c5571dfffff,bicycle,home,male,Maipú,Pudahuel,1.657,-180,STOP_0016,0
m00042,u0059,t00042,0,-70.68591045037184,-33.4986073305177,-70.6937238388854,-33.47399218327536,2026-03-01T21:27:00Z,2026-03-01T21:58:00Z,88b2c55597fffff,88b2c5558bfffff,metro,work,other,La Florida,San Miguel,3.76,-180,STOP_0080,2
m00043,u0024,t00043,0,-70.68902491637803,-33.481031100964074,-70.73754523865121,-33.49313097687483,2026-03-03T04:26:00Z,2026-03-03T06:07:00Z,88b2c5559dfffff,88b2c555a5fffff,train,leisure,unknown,Ñuñoa,La Florida,0.701,-180,STOP_0121,0
m00044,u0149,t00044,0,-70.65925957846558,-33.44143356099806,-70.6500777446745,-33.4756942859876,2026-03-06T23:28:00Z,2026-03-06T23:44:00Z,88b2c55411fffff,88b2c554abfffff,bus,shopping,female,Independencia,Independencia,1.787,-180,STOP_3946,3
m00045,u0149,t00045,0,-70.52212810707086,-33.48160658432181,-70.45913956516229,-33.46593514851474,2026-03-03T01:28:00Z,2026-03-03T02:26:00Z,88b2c50843fffff,88b2c50ac1fffff,bicycle,other,other,San Miguel,Vitacura,3.528,-180,STOP_1278,2
m00046,u0145,t00046,0,-70.73857604553895,-33.39820205310232,-70.71105322127742,-33.36215949693565,2026-03-05T15:12:00Z,2026-03-05T16:28:00Z,88b2c55721fffff,88b2c55749fffff,train,health,female,La Florida,Estación Central,3.962,-180,STOP_0661,1
m00047,u0034,t00047,0,-70.64373417653808,-33.37511278444159,-70.7088526924979,-33.33148680132587,2026-03-03T06:34:00Z,2026-03-03T06:46:00Z,88b2c55609fffff,88b2c5cde1fffff,taxi,shopping,unknown,San Miguel,Maipú,4.968,-180,STOP_2512,3
m00048,u0133,t00048,0,-70.72761399779701,-33.454236323171145,-70.81903384833869,-33.44818040759562,2026-03-05T09:36:00Z,2026-03-05T10:22:00Z,88b2c55517fffff,88b2c5420dfffff,motorcycle,home,other,Independencia,Estación Central,1.524,-180,STOP_1057,3
m00049,u0081,t00049,0,-70.72479565610247,-33.44647442911231,-70.7168557623197,-33.454404918381215,2026-03-06T06:54:00Z,2026-03-06T07:02:00Z,88b2c5551dfffff,88b2c55513fffff,taxi,transfer,other,Quilicura,La Florida,3.998,-180,STOP_0527,3
m00050,u0050,t00050,0,-70.72539814397894,-33.3387354350583,-70.67808451218669,-33.35157697856868,2026-03-05T14:13:00Z,2026-03-05T14:35:00Z,88b2c552dbfffff,88b2c5cd95fffff,bicycle,home,unknown,Ñuñoa,Santiago,4.516,-180,STOP_3841,2
m00051,u0078,t00051,0,-70.58257158452567,-33.464892093133166,-70.57955959473232,-33.4724582940348,2026-03-07T01:45:00Z,2026-03-07T03:02:00Z,88b2c50b2bfffff,88b2c50b3dfffff,car,transfer,other,San Miguel,San Miguel,0.759,-180,STOP_2000,3
m00052,u0064,t00052,0,-70.55171625838362,-33.41133780020708,-70.50532021827166,-33.430451672660745,2026-03-05T13:21:00Z,2026-03-05T14:50:00Z,88b2c51985fffff,88b2c50a47fffff,taxi,work,unknown,San Miguel,Providencia,3.439,-180,STOP_4029,0
m00053,u0007,t00053,0,-70.64502839681995,-33.50666368159577,-70.71012324577926,-33.49869901670053,2026-03-05T14:53:00Z,2026-03-05T16:12:00Z,88b2c5465dfffff,88b2c555b5fffff,ride_hailing,leisure,other,Pudahuel,Recoleta,4.718,-180,STOP_3635,0
m00054,u0095,t00054,0,-70.4888810250341,-33.50914637828566,-70.48885215968349,-33.53891350567014,2026-03-01T21:15:00Z,2026-03-01T23:04:00Z,88b2c508c9fffff,88b2c50883fffff,metro,health,female,Pudahuel,Providencia,0.619,-180,STOP_3204,2
m00055,u0042,t00055,0,-70.66017400601403,-33.368452511504564,-70.63623392099164,-33.37782597890544,2026-03-01T09:44:00Z,2026-03-01T10:27:00Z,88b2c5566bfffff,88b2c5560bfffff,train,home,female,San Miguel,Vitacura,0.643,-180,STOP_4944,2
m00056,u0044,t00056,0,-70.76759762418857,-33.56214329613288,-70.82707788594195,-33.52167998817155,2026-03-01T17:00:00Z,2026-03-01T18:42:00Z,88b2c54545fffff,88b2c5403bfffff,bus,education,unknown,San Miguel,San Miguel,1.664,-180,STOP_2018,3
m00057,u0005,t00057,0,-70.78543152418098,-33.4998319383533,-70.80658967409992,-33.5319263272091,2026-03-02T10:56:00Z,2026-03-02T11:54:00Z,88b2c542abfffff,88b2c540ebfffff,other,education,unknown,Recoleta,La Florida,3.893,-180,STOP_1649,1
m00058,u0071,t00058,0,-70.62821955447127,-33.46527980531806,-70.64372266703617,-33.50283107126862,2026-03-06T01:59:00Z,2026-03-06T03:10:00Z,88b2c5548bfffff,88b2c5465dfffff,car,other,female,Vitacura,Independencia,4.187,-180,STOP_4204,0
m00059,u0148,t00059,0,-70.7963786802539,-33.49667251250823,-70.7812247397184,-33.46694320733633,2026-03-02T11:47:00Z,2026-03-02T12:50:00Z,88b2c542adfffff,88b2c54213fffff,train,leisure,unknown,Independencia,Providencia,4.3,-180,STOP_3154,3
m00060,u0092,t00060,0,-70.76065285323885,-33.35957187276753,-70.77277786255667,-33.333744718441515,2026-03-04T08:51:00Z,2026-03-04T09:49:00Z,88b2c55287fffff,88b2c552e9fffff,bicycle,home,unknown,Las Condes,La Florida,1.093,-180,STOP_3225,3
m00061,u0094,t00061,0,-70.6444183764229,-33.442739068025155,-70.61592175610818,-33.379484449665036,2026-03-04T21:01:00Z,2026-03-04T21:52:00Z,88b2c554cdfffff,88b2c51925fffff,scooter,leisure,unknown,Pudahuel,Las Condes,1.853,-180,STOP_2546,2
m00062,u0040,t00062,0,-70.72381982341498,-33.54257206104062,-70.71921142783106,-33.54911575375859,2026-03-03T14:42:00Z,2026-03-03T15:58:00Z,88b2c54739fffff,88b2c5473bfffff,train,shopping,other,Maipú,Vitacura,2.041,-180,STOP_0548,0
m00063,u0141,t00063,0,-70.82440423986613,-33.38134541473709,-70.79792492698036,-33.355144887778195,2026-03-03T12:47:00Z,2026-03-03T12:53:00Z,88b2c55031fffff,88b2c55051fffff,train,errand,unknown,Estación Central,Providencia,4.753,-180,STOP_4757,1
m00064,u0062,t00064,0,-70.53161583298466,-33.458948243314346,-70.52821502697849,-33.49612712995723,2026-03-07T09:34:00Z,2026-03-07T10:38:00Z,88b2c50a25fffff,88b2c50801fffff,other,education,unknown,San Miguel,Santiago,1.947,-180,STOP_1890,3
m00065,u0119,t00065,0,-70.60865665077594,-33.532826137001884,-70.59113642874878,-33.52187825861307,2026-03-05T00:42:00Z,2026-03-05T01:28:00Z,88b2c50935fffff,88b2c50939fffff,walk,shopping,other,San Miguel,Las Condes,4.373,-180,STOP_2516,1
m00066,u0148,t00066,0,-70.70424786896436,-33.57769075550991,-70.6856181105865,-33.61793106634582,2026-03-06T11:43:00Z,2026-03-06T13:22:00Z,88b2c5442bfffff,88b2c544a5fffff,car,errand,other,Maipú,Independencia,4.673,-180,STOP_2031,2
m00067,u0064,t00067,0,-70.4858595774109,-33.42416954778683,-70.42655085476137,-33.41270776991675,2026-03-05T00:05:00Z,2026-03-05T01:17:00Z,88b2c518b7fffff,88b2c5014bfffff,ride_hailing,work,female,Recoleta,Recoleta,4.65,-180,STOP_0683,0
m00068,u0086,t00068,0,-70.6724852767436,-33.500831247466614,-70.78908988625909,-33.559102618352306,2026-03-02T21:52:00Z,2026-03-02T23:43:00Z,88b2c54645fffff,88b2c540bbfffff,taxi,work,male,Vitacura,Pudahuel,1.985,-180,STOP_3112,0
m00069,u0111,t00069,0,-70.44608184603098,-33.4676619353927,-70.4464907875599,-33.45328079956543,2026-03-01T06:16:00Z,2026-03-01T07:49:00Z,88b2c50addfffff,88b2c50135fffff,bus,transfer,male,Recoleta,Providencia,3.39,-180,STOP_0847,3
m00070,u0089,t00070,0,-70.64734393570593,-33.36536487302708,-70.71620299236481,-33.396645666595646,2026-03-04T05:06:00Z,2026-03-04T07:01:00Z,88b2c55647fffff,88b2c55707fffff,bicycle,work,male,La Florida,Pudahuel,0.502,-180,STOP_3282,2
m00071,u0106,t00071,0,-70.53559691678956,-33.550205299021286,-70.50837331285975,-33.575356819389505,2026-03-05T18:48:00Z,2026-03-05T20:02:00Z,88b2c50999fffff,88b2c57255fffff,metro,other,other,Las Condes,Vitacura,1.709,-180,STOP_1218,1
m00072,u0060,t00072,0,-70.79162323853541,-33.45334372978275,-70.7966356733258,-33.4335979604602,2026-03-07T05:38:00Z,2026-03-07T07:19:00Z,88b2c5421dfffff,88b2c5424bfffff,bus,education,other,Ñuñoa,Ñuñoa,0.998,-180,STOP_0455,1
m00073,u0050,t00073,0,-70.62398139043964,-33.295994895159346,-70.67863785627293,-33.30100828339011,2026-03-06T08:51:00Z,2026-03-06T10:31:00Z,88b2c5cea7fffff,88b2c5cc2bfffff,bus,education,other,Maipú,Estación Central,1.73,-180,STOP_4809,2
m00074,u0046,t00074,0,-70.82355217662817,-33.531217696498864,-70.79817767708606,-33.488975398621264,2026-03-03T13:09:00Z,2026-03-03T14:44:00Z,88b2c540e5fffff,88b2c542e7fffff,walk,health,female,Providencia,Las Condes,4.126,-180,STOP_3765,1
m00075,u0013,t00075,0,-70.69815407315585,-33.29927273012934,-70.6858628808084,-33.28747923553406,2026-03-03T00:26:00Z,2026-03-03T01:25:00Z,88b2c5cc25fffff,88b2c5cc67fffff,bicycle,errand,other,Recoleta,Puente Alto,3.747,-180,STOP_3445,0
m00076,u0043,t00076,0,-70.5835248949386,-33.45235763809157,-70.55762216389358,-33.46142526016218,2026-03-06T03:31:00Z,2026-03-06T04:49:00Z,88b2c50b63fffff,88b2c50b1dfffff,bus,work,unknown,Puente Alto,Puente Alto,2.288,-180,STOP_2879,1
m00077,u0087,t00077,0,-70.62893288917185,-33.48592399175993,-70.63730180684865,-33.49891994943003,2026-03-03T18:08:00Z,2026-03-03T19:58:00Z,88b2c554bbfffff,88b2c54659fffff,car,home,unknown,Recoleta,Vitacura,2.811,-180,STOP_1060,3
m00078,u0009,t00078,0,-70.63737504271374,-33.28569034094021,-70.61811938758109,-33.23549511609578,2026-03-03T12:54:00Z,2026-03-03T13:10:00Z,88b2c5cc53fffff,88b2c5ce57fffff,taxi,shopping,unknown,San Miguel,Santiago,3.659,-180,STOP_4535,1
m00079,u0060,t00079,0,-70.62006674117428,-33.38299615861877,-70.59523279231827,-33.39108482149149,2026-03-07T11:06:00Z,2026-03-07T11:27:00Z,88b2c5561bfffff,88b2c51935fffff,taxi,home,unknown,Independencia,Puente Alto,1.59,-180,STOP_2300,2
m00080,u0102,t00080,0,-70.52460807023195,-33.66955533725512,-70.46257509913579,-33.681206174661,2026-03-05T01:40:00Z,2026-03-05T03:02:00Z,88b2c570e7fffff,88b2c57727fffff,bus,shopping,unknown,Quilicura,La Florida,3.997,-180,STOP_4475,0
m00081,u0075,t00081,0,-70.62030567723748,-33.3339277732119,-70.58250104489629,-33.32696230736931,2026-03-01T11:49:00Z,2026-03-01T12:18:00Z,88b2c5cc83fffff,88b2c51b21fffff,bicycle,home,other,Vitacura,San Miguel,0.557,-180,STOP_4084,3
m00082,u0022,t00082,0,-70.60273462270469,-33.448525656298834,-70.564865742109,-33.425560575626506,2026-03-07T16:31:00Z,2026-03-07T17:39:00Z,88b2c50b65fffff,88b2c519a3fffff,car,transfer,unknown,Recoleta,Ñuñoa,4.171,-180,STOP_1666,0
m00083,u0080,t00083,0,-70.57442809854193,-33.44346087427604,-70.54725077681863,-33.41353728524516,2026-03-02T13:25:00Z,2026-03-02T14:10:00Z,88b2c50b47fffff,88b2c51987fffff,metro,health,other,Estación Central,San Miguel,2.265,-180,STOP_1956,0
m00084,u0056,t00084,0,-70.68147091719014,-33.48862336426229,-70.70675339258257,-33.492006909630774,2026-03-04T11:02:00Z,2026-03-04T11:18:00Z,88b2c55591fffff,88b2c555bdfffff,train,health,male,Las Condes,San Miguel,0.871,-180,STOP_4421,0
m00085,u0077,t00085,0,-70.67064651302402,-33.49028247115192,-70.7116747621413,-33.438050803319356,2026-03-04T23:01:00Z,2026-03-04T23:51:00Z,88b2c5559bfffff,88b2c55553fffff,bus,errand,unknown,Independencia,Providencia,3.475,-180,STOP_0222,1
m00086,u0049,t00086,0,-70.6408728343643,-33.44427041383298,-70.62593244168832,-33.48024331340498,2026-03-05T03:16:00Z,2026-03-05T03:52:00Z,88b2c554cdfffff,88b2c55495fffff,scooter,shopping,female,Recoleta,Pudahuel,4.826,-180,STOP_1522,3
m00087,u0036,t00087,0,-70.65106054834851,-33.47890439682909,-70.63923139636267,-33.487134140875995,2026-03-02T16:17:00Z,2026-03-02T18:04:00Z,88b2c554abfffff,88b2c554b1fffff,metro,leisure,unknown,Vitacura,Maipú,2.07,-180,STOP_0144,0
m00088,u0031,t00088,0,-70.6145592222106,-33.405430860324074,-70.64671958946286,-33.43247519765012,2026-03-01T18:56:00Z,2026-03-01T20:45:00Z,88b2c556c7fffff,88b2c556a5fffff,motorcycle,education,unknown,Las Condes,Providencia,0.57,-180,STOP_0304,3
m00089,u0037,t00089,0,-70.79243158574182,-33.56044780323698,-70.81792675154904,-33.56493842316996,2026-03-08T01:04:00Z,2026-03-08T02:43:00Z,88b2c540bbfffff,88b2c54e49fffff,taxi,health,other,Pudahuel,Estación Central,2.68,-180,STOP_2170,0
m00090,u0035,t00090,0,-70.45678863477798,-33.524684925159164,-70.4181541479392,-33.563388436774915,2026-03-05T23:58:00Z,2026-03-06T01:55:00Z,88b2c508dbfffff,88b2c50d5bfffff,bicycle,shopping,unknown,San Miguel,Recoleta,2.764,-180,STOP_2367,1
m00091,u0052,t00091,0,-70.6294411965367,-33.46355092697692,-70.66816504819424,-33.44596238954,2026-03-06T00:52:00Z,2026-03-06T02:04:00Z,88b2c55489fffff,88b2c5543bfffff,other,health,male,Santiago,Santiago,3.08,-180,STOP_0303,3
m00092,u0010,t00092,0,-70.61240154266423,-33.412021476574175,-70.5599855669717,-33.403375509027775,2026-03-01T11:27:00Z,2026-03-01T12:29:00Z,88b2c5568dfffff,88b2c519e3fffff,other,transfer,other,Quilicura,San Miguel,4.12,-180,STOP_3197,1
m00093,u0055,t00093,0,-70.73221955396532,-33.42098636054072,-70.73327200262722,-33.42771948595721,2026-03-08T02:55:00Z,2026-03-08T04:47:00Z,88b2c5554bfffff,88b2c55543fffff,bicycle,transfer,unknown,La Florida,San Miguel,2.602,-180,STOP_1329,0
m00094,u0010,t00094,0,-70.63285783740912,-33.492492216644024,-70.67630389819618,-33.50652922500291,2026-03-07T00:36:00Z,2026-03-07T01:00:00Z,88b2c554b3fffff,88b2c5466bfffff,walk,home,female,Recoleta,Ñuñoa,0.874,-180,STOP_0425,1
m00095,u0037,t00095,0,-70.74661874797057,-33.41915640915554,-70.74298692257028,-33.39320853225122,2026-03-01T08:32:00Z,2026-03-01T08:37:00Z,88b2c55545fffff,88b2c5572dfffff,ride_hailing,leisure,other,Maipú,Ñuñoa,4.12,-180,STOP_0426,0
m00096,u0124,t00096,0,-70.67731535051743,-33.38191806268989,-70.64721352663715,-33.399379293431515,2026-03-04T08:54:00Z,2026-03-04T10:48:00Z,88b2c5562dfffff,88b2c55631fffff,bus,shopping,female,Pudahuel,Independencia,0.951,-180,STOP_0246,1
m00097,u0106,t00097,0,-70.77440521673627,-33.573345035962305,-70.74264843652766,-33.60282064750681,2026-03-07T17:33:00Z,2026-03-07T19:30:00Z,88b2c54563fffff,88b2c545edfffff,walk,errand,male,Recoleta,Vitacura,3.41,-180,STOP_3923,2
m00098,u0126,t00098,0,-70.64890415794179,-33.412833777515104,-70.67482432384524,-33.425567246585025,2026-03-07T01:16:00Z,2026-03-07T01:38:00Z,88b2c55459fffff,88b2c55409fffff,bicycle,transfer,unknown,La Florida,Providencia,1.716,-180,STOP_4782,1
