movement_id,user_id,trip_id,movement_seq,origin_longitude,origin_latitude,destination_longitude,destination_latitude,origin_time_utc,destination_time_utc,origin_h3_index,destination_h3_index
m00012,u0441,t00012,0,-70.5584484783517,-33.32111070812003,-70.47358147894907,-33.27959909728424,2026-03-04T10:20:00Z,2026-03-04T11:35:00Z,88b2c51b01fffff,88b2c5c4b5fffff
m00013,u0456,t00013,0,-70.82583355655822,-33.547789945003196,-70.78570532177352,-33.52856807169711,2026-03-01T22:59:00Z,2026-03-01T23:13:00Z,88b2c540adfffff,88b2c540c3fffff
m00014,u0430,t00014,0,-70.66079045153732,-33.43007711021545,-70.62791296349297,-33.38125507003151,2026-03-05T21:52:00Z,2026-03-05T22:56:00Z,88b2c5541dfffff,88b2c55619fffff
m00015,u0471,t00015,0,-70.63261576016914,-33.30429609193495,-70.60956419250041,-33.3060673584541,2026-03-05T00:14:00Z,2026-03-05T01:03:00Z,88b2c5cc13fffff,88b2c5cccbfffff
m00016,u0307,t00016,0,-70.69007645848467,-33.582140731854345,-70.73020915409914,-33.51043405053479,2026-03-01T20:41:00Z,2026-03-01T21:41:00Z,88b2c54439fffff,88b2c54741fffff
m00017,u0076,t00017,0,-70.84521618554011,-33.55248553654767,-70.79411497787049,-33.56704742263509,2026-03-04T12:38:00Z,2026-03-04T13:13:00Z,88b2c5419dfffff,88b2c540b3fffff
m00018,u0503,t00018,0,-70.69256981100737,-33.48388852851687,-70.72629511732785,-33.5068823835428,2026-03-06T08:55:00Z,2026-03-06T09:23:00Z,88b2c55583fffff,88b2c54741fffff
m00019,u0270,t00019,0,-70.6927305430255,-33.49164707302844,-70.68139907109948,-33.52794865851911,2026-03-03T12:57:00Z,2026-03-03T14:51:00Z,88b2c55595fffff,88b2c54621fffff
m00020,u0300,t00020,0,-70.67480724045477,-33.38499189697971,-70.74038283667335,-33.31506115683297,2026-03-03T17:57:00Z,2026-03-03T19:06:00Z,88b2c5562dfffff,88b2c5cd3dfffff
m00021,u0222,t00021,0,-70.7163471425425,-33.430667222414336,-70.7979814965684,-33.4060837952358,2026-03-02T00:30:00Z,2026-03-02T01:22:00Z,88b2c55551fffff,88b2c550a9fffff
m00022,u0109,t00022,0,-70.70430121532414,-33.591996964771376,-70.69156956721801,-33.60202058677279,2026-03-02T16:19:00Z,2026-03-02T16:32:00Z,88b2c54435fffff,88b2c545d9fffff
m00023,u0556,t00023,0,-70.6639706282347,-33.40876716776794,-70.69633459892249,-33.37129648686174,2026-03-08T02:49:00Z,2026-03-08T04:21:00Z,88b2c5544bfffff,88b2c5575dfffff
m00024,u0468,t00024,0,-70.61575453950303,-33.49620311098845,-70.69532124235492,-33.47557234543492,2026-03-05T14:17:00Z,2026-03-05T15:16:00Z,88b2c50961fffff,88b2c5558bfffff
m00025,u0386,t00025,0,-70.69044267628567,-33.3480442226447,-70.66881829616779,-33.28906039850344,2026-03-02T11:34:00Z,2026-03-02T12:23:00Z,88b2c5cd87fffff,88b2c5cc05fffff
m00026,u0241,t00026,0,-70.7009648928368,-33.500207002914955,-70.61616166199477,-33.546641987897154,2026-03-04T15:06:00Z,2026-03-04T16:27:00Z,88b2c555b1fffff,88b2c546c3fffff
m00027,u0493,t00027,0,-70.65076459617455,-33.50092922264818,-70.59518218583135,-33.50889002589761,2026-03-02T14:22:00Z,2026-03-02T14:42:00Z,88b2c5464bfffff,88b2c50901fffff
m00028,u0327,t00028,0,-70.85209159258952,-33.40670947113564,-70.86238430800014,-33.420585112653924,2026-03-04T08:22:00Z,2026-03-04T09:28:00Z,88b2c5518dfffff,88b2c551abfffff
m00029,u0266,t00029,0,-70.61229648727735,-33.38896588141305,-70.61194267500947,-33.44817636170531,2026-03-02T06:27:00Z,2026-03-02T08:11:00Z,88b2c51927fffff,88b2c554d9fffff
m00030,u0270,t00030,0,-70.66005630971229,-33.41415205088511,-70.62454805944093,-33.382342234741714,2026-03-05T13:57:00Z,2026-03-05T14:55:00Z,88b2c5545dfffff,88b2c55619fffff
m00031,u0136,t00031,0,-70.65603064734024,-33.584847785390785,-70.61114552654685,-33.59295968206489,2026-03-05T05:47:00Z,2026-03-05T05:52:00Z,88b2c544cdfffff,88b2c57367fffff
m00032,u0055,t00032,0,-70.56392656924055,-33.406957244805746,-70.57766799799357,-33.38476830865615,2026-03-05T16:25:00Z,2026-03-05T16:56:00Z,88b2c519a9fffff,88b2c5193bfffff
m00033,u0332,t00033,0,-70.85528155300482,-33.532744644133956,-70.85391444437583,-33.46195148610407,2026-03-04T08:32:00Z,2026-03-04T08:43:00Z,88b2c541c1fffff,88b2c54357fffff
m00034,u0532,t00034,0,-70.85738338698589,-33.43117791107294,-70.84535879471531,-33.44177522182777,2026-03-03T06:02:00Z,2026-03-03T07:04:00Z,88b2c551b5fffff,88b2c54359fffff
m00035,u0038,t00035,0,-70.63261961546765,-33.563898754831925,-70.61046456265649,-33.57653334431164,2026-03-02T23:55:00Z,2026-03-03T00:41:00Z,88b2c546abfffff,88b2c54697fffff
m00036,u0514,t00036,0,-70.66071168551285,-33.41429422819656,-70.66603474319331,-33.41073430310484,2026-03-02T18:08:00Z,2026-03-02T18:28:00Z,88b2c5545dfffff,88b2c5544bfffff
m00037,u0496,t00037,0,-70.6429823056808,-33.51452791234459,-70.64778571548355,-33.48491049175509,2026-03-04T06:08:00Z,2026-03-04T07:31:00Z,88b2c54657fffff,88b2c554bdfffff
m00038,u0166,t00038,0,-70.70621270751724,-33.55261077202084,-70.65101941432707,-33.569612162780146,2026-03-04T09:50:00Z,2026-03-04T10:15:00Z,88b2c54469fffff,88b2c546a5fffff
m00039,u0378,t00039,0,-70.593564632576,-33.39289438908141,-70.54518380447828,-33.411823236995374,2026-03-05T23:09:00Z,2026-03-05T23:53:00Z,88b2c51935fffff,88b2c51987fffff
m00040,u0099,t00040,0,-70.56673611570089,-33.43066843826586,-70.54763969276345,-33.39895276015862,2026-03-01T14:48:00Z,2026-03-01T16:46:00Z,88b2c50b49fffff,88b2c5198dfffff
m00041,u0454,t00041,0,-70.61160177060485,-33.499118144111435,-70.54283740780393,-33.48775896439629,2026-03-03T05:19:00Z,2026-03-03T05:31:00Z,88b2c5096bfffff,88b2c5086bfffff
m00042,u0420,t00042,0,-70.68608284584046,-33.33390569207832,-70.70154067632951,-33.395247539968466,2026-03-07T05:14:00Z,2026-03-07T05:47:00Z,88b2c5cd89fffff,88b2c5571dfffff
m00043,u0212,t00043,0,-70.87076893876144,-33.48525219372558,-70.80585000081626,-33.52201394770965,2026-03-07T15:45:00Z,2026-03-07T16:26:00Z,88b2c54333fffff,88b2c540c5fffff
m00044,u0040,t00044,0,-70.58307637919629,-33.44743138608233,-70.56137576145487,-33.402394310167516,2026-03-07T18:23:00Z,2026-03-07T19:26:00Z,88b2c50b6bfffff,88b2c519e3fffff
m00045,u0582,t00045,0,-70.53782713337824,-33.42848692418571,-70.40698608848966,-33.41642907569335,2026-03-03T09:27:00Z,2026-03-03T10:00:00Z,88b2c519bbfffff,88b2c50159fffff
m00046,u0267,t00046,0,-70.5955441588016,-33.499573274730295,-70.6432434358729,-33.52243915266141,2026-03-02T05:02:00Z,2026-03-02T06:58:00Z,88b2c50909fffff,88b2c5461dfffff
m00047,u0535,t00047,0,-70.74796424273674,-33.412309096528006,-70.77553805282544,-33.41742138624505,2026-03-02T15:17:00Z,2026-03-02T15:22:00Z,88b2c5554dfffff,88b2c550bbfffff
m00048,u0406,t00048,0,-70.59262056063322,-33.49267618777318,-70.5758686475052,-33.492279087589125,2026-03-02T04:09:00Z,2026-03-02T06:03:00Z,88b2c50943fffff,88b2c5095dfffff
m00049,u0467,t00049,0,-70.57394702920385,-33.4829310657773,-70.5580576670847,-33.46085906496889,2026-03-07T22:22:00Z,2026-03-07T23:28:00Z,88b2c50b37fffff,88b2c50b1dfffff
m00050,u0455,t00050,0,-70.50411837522009,-33.34098858881573,-70.42611281585309,-33.381736490661496,2026-03-07T10:24:00Z,2026-03-07T10:33:00Z,88b2c5185dfffff,88b2c50363fffff
m00051,u0116,t00051,0,-70.74761099242279,-33.533246884201,-70.77434597975477,-33.558475358361115,2026-03-06T22:10:00Z,2026-03-06T22:28:00Z,88b2c54729fffff,88b2c54097fffff
m00052,u0218,t00052,0,-70.68264545845442,-33.64302242647436,-70.64644871770666,-33.63483375382846,2026-03-06T08:36:00Z,2026-03-06T08:52:00Z,88b2c57a45fffff,88b2c544b3fffff
m00053,u0280,t00053,0,-70.58527279488565,-33.32112504039905,-70.53877427469837,-33.324120077813916,2026-03-03T15:38:00Z,2026-03-03T16:16:00Z,88b2c51b2dfffff,88b2c51b1dfffff
m00054,u0298,t00054,0,-70.65425899285619,-33.246053763791444,-70.62607307956736,-33.22889798831234,2026-03-04T13:54:00Z,2026-03-04T14:37:00Z,88b2c5ce29fffff,88b2c5ce55fffff
m00055,u0026,t00055,0,-70.77173276020513,-33.48242154123595,-70.8101726138821,-33.51930676315674,2026-03-07T03:21:00Z,2026-03-07T04:39:00Z,88b2c5428dfffff,88b2c54013fffff
m00056,u0327,t00056,0,-70.61853837149732,-33.60494704324962,-70.56222801928716,-33.594233182961474,2026-03-06T22:48:00Z,2026-03-06T23:28:00Z,88b2c544d3fffff,88b2c57357fffff
m00057,u0092,t00057,0,-70.60213383661848,-33.474838718095675,-70.55296083936587,-33.44209120951435,2026-03-04T21:09:00Z,2026-03-04T22:37:00Z,88b2c5549bfffff,88b2c50b5dfffff
m00058,u0446,t00058,0,-70.6512037103669,-33.472897835987254,-70.62722032957528,-33.45829327957278,2026-03-07T02:42:00Z,2026-03-07T03:20:00Z,88b2c554a9fffff,88b2c554d5fffff
m00059,u0409,t00059,0,-70.638041507282,-33.46519390728179,-70.62986759979364,-33.461020555088936,2026-03-03T16:15:00Z,2026-03-03T16:50:00Z,88b2c55481fffff,88b2c55489fffff
m00060,u0553,t00060,0,-70.68587059016858,-33.53907104335375,-70.6768262697668,-33.54194755143073,2026-03-04T03:28:00Z,2026-03-04T04:04:00Z,88b2c54449fffff,88b2c54635fffff
m00061,u0446,t00061,0,-70.5121721064284,-33.40363510860188,-70.51532153811797,-33.428680643185025,2026-03-07T03:03:00Z,2026-03-07T03:45:00Z,88b2c519d3fffff,88b2c50a45fffff
m00062,u0219,t00062,0,-70.75006921837127,-33.408039409977114,-70.72443781300116,-33.41019936775031,2026-03-03T21:14:00Z,2026-03-03T22:55:00Z,88b2c5509bfffff,88b2c55735fffff
m00063,u0580,t00063,0,-70.71873207627637,-33.56955244958555,-70.71748668215857,-33.53176127399914,2026-03-06T12:21:00Z,2026-03-06T12:54:00Z,88b2c5442dfffff,88b2c5471dfffff
m00064,u0246,t00064,0,-70.65890144864724,-33.394064261464415,-70.69284244766135,-33.39763511666242,2026-03-04T10:09:00Z,2026-03-04T10:45:00Z,88b2c5563dfffff,88b2c55711fffff
m00065,u0195,t00065,0,-70.57210459722991,-33.285785201444334,-70.61404826302301,-33.31247932112478,2026-03-03T08:02:00Z,2026-03-03T09:57:00Z,88b2c5ce91fffff,88b2c5ccc3fffff
m00066,u0543,t00066,0,-70.80973731700945,-33.43624317340504,-70.83981876715553,-33.451010586068,2026-03-02T18:45:00Z,2026-03-02T20:05:00Z,88b2c54247fffff,88b2c5435bfffff
m00067,u0222,t00067,0,-70.79102967497654,-33.47698601296548,-70.78214438527456,-33.470960504047206,2026-03-05T11:55:00Z,2026-03-05T12:21:00Z,88b2c542e1fffff,88b2c542e9fffff
m00068,u0045,t00068,0,-70.86377285077347,-33.461360257152606,-70.86485108423088,-33.47256567706803,2026-03-04T14:34:00Z,2026-03-04T16:18:00Z,88b2c5430bfffff,88b2c54315fffff
m00069,u0281,t00069,0,-70.65673047747467,-33.40077945864252,-70.64811672574312,-33.386220360150624,2026-03-03T20:03:00Z,2026-03-03T20:29:00Z,88b2c55635fffff,88b2c55603fffff
m00070,u0477,t00070,0,-70.77183058172065,-33.588453728440584,-70.7517980563788,-33.572768415618114,2026-03-06T10:51:00Z,2026-03-06T11:14:00Z,88b2c5452bfffff,88b2c54509fffff
m00071,u0113,t00071,0,-70.69845501100178,-33.43684874376182,-70.72354784803846,-33.410179248349685,2026-03-01T06:10:00Z,2026-03-01T07:06:00Z,88b2c55421fffff,88b2c55735fffff
m00072,u0277,t00072,0,-70.59386218101082,-33.48123711595703,-70.53523577427701,-33.438530331789075,2026-03-01T21:29:00Z,2026-03-01T22:53:00Z,88b2c50949fffff,88b2c50a65fffff
m00073,u0077,t00073,0,-70.72415427207828,-33.30217399896352,-70.73486270516018,-33.27229823723235,2026-03-07T23:35:00Z,2026-03-08T00:01:00Z,88b2c5cd0bfffff,88b2c5cd4dfffff
m00074,u0411,t00074,0,-70.63687179772566,-33.4639338187044,-70.65420887711691,-33.49196099062883,2026-03-05T21:28:00Z,2026-03-05T22:59:00Z,88b2c55489fffff,88b2c54649fffff
m00075,u0285,t00075,0,-70.68993379077517,-33.316568991110444,-70.67063834128187,-33.34367502450773,2026-03-05T02:20:00Z,2026-03-05T02:43:00Z,88b2c5cdcdfffff,88b2c5cd9dfffff
m00076,u0198,t00076,0,-70.59278856849035,-33.538299255822565,-70.66624897658535,-33.54057240011636,2026-03-01T08:28:00Z,2026-03-01T10:02:00Z,88b2c546d9fffff,88b2c54631fffff
m00077,u0136,t00077,0,-70.6124871932652,-33.40301926665578,-70.64410857125411,-33.416554527372966,2026-03-05T10:32:00Z,2026-03-05T10:48:00Z,88b2c556c7fffff,88b2c5545bfffff
m00078,u0338,t00078,0,-70.72919336961746,-33.4244479788967,-70.6899504576698,-33.45859778070553,2026-03-04T07:02:00Z,2026-03-04T08:00:00Z,88b2c5555dfffff,88b2c555cbfffff
m00079,u0401,t00079,0,-70.67686517534004,-33.519523779829186,-70.74636205250252,-33.532774533654376,2026-03-05T10:46:00Z,2026-03-05T12:04:00Z,88b2c54605fffff,88b2c54729fffff
m00080,u0564,t00080,0,-70.55562566022795,-33.435808310829046,-70.51092269235062,-33.45004369883762,2026-03-01T12:53:00Z,2026-03-01T13:28:00Z,88b2c50b4bfffff,88b2c50a05fffff
m00081,u0262,t00081,0,-70.62066231297459,-33.35299849305348,-70.56021685032022,-33.373153925246314,2026-03-05T02:30:00Z,2026-03-05T03:45:00Z,88b2c5ccb3fffff,88b2c51919fffff
m00082,u0096,t00082,0,-70.7996962057751,-33.47590333634293,-70.81447441928806,-33.48537702092758,2026-03-05T07:04:00Z,2026-03-05T08:28:00Z,88b2c542edfffff,88b2c5405dfffff
m00083,u0499,t00083,0,-70.59443819388285,-33.58535701193358,-70.5827656831858,-33.55000348642403,2026-03-03T06:43:00Z,2026-03-03T08:02:00Z,88b2c5736bfffff,88b2c509adfffff
m00084,u0377,t00084,0,-70.76846106224362,-33.451405026118195,-70.72369757884958,-33.445427884880715,2026-03-01T15:09:00Z,2026-03-01T15:59:00Z,88b2c55521fffff,88b2c5551dfffff
m00085,u0420,t00085,0,-70.5187486930039,-33.5221938475834,-70.53742026052564,-33.448039575301735,2026-03-08T01:13:00Z,2026-03-08T02:46:00Z,88b2c508edfffff,88b2c50b5bfffff
m00086,u0058,t00086,0,-70.55759011601589,-33.477387275093115,-70.52287909519484,-33.472272029512524,2026-03-06T05:10:00Z,2026-03-06T06:39:00Z,88b2c5086dfffff,88b2c50849fffff
m00087,u0187,t00087,0,-70.63101145240816,-33.456527021574814,-70.65785740421339,-33.46522899479293,2026-03-05T14:26:00Z,2026-03-05T15:08:00Z,88b2c554c3fffff,88b2c554e7fffff
m00088,u0460,t00088,0,-70.64427671565637,-33.586452177281245,-70.6633808073897,-33.5863281908016,2026-03-06T14:52:00Z,2026-03-06T16:21:00Z,88b2c544c1fffff,88b2c54413fffff
m00089,u0499,t00089,0,-70.68090322560273,-33.57925266714566,-70.71287668417574,-33.571557907792354,2026-03-05T22:42:00Z,2026-03-06T00:32:00Z,88b2c54415fffff,88b2c54429fffff
m00090,u0261,t00090,0,-70.59214760485999,-33.41143465315796,-70.5784417168922,-33.39837703444283,2026-03-02T04:34:00Z,2026-03-02T06:12:00Z,88b2c556d7fffff,88b2c519e5fffff
m00091,u0482,t00091,0,-70.6970778169462,-33.491817495693574,-70.65075905484359,-33.4295161559178,2026-03-04T10:24:00Z,2026-03-04T11:53:00Z,88b2c555b9fffff,88b2c55419fffff
m00092,u0505,t00092,0,-70.63644301293601,-33.65517954734565,-70.6438075302207,-33.68053916129497,2026-03-07T11:17:00Z,2026-03-07T12:50:00Z,88b2c57121fffff,88b2c57ac5fffff
m00093,u0232,t00093,0,-70.57280656334805,-33.38721247707135,-70.62365652974455,-33.36144109532602,2026-03-03T06:21:00Z,2026-03-03T07:58:00Z,88b2c5193bfffff,88b2c55659fffff
m00094,u0538,t00094,0,-70.71618065435256,-33.428210419578065,-70.75948892724402,-33.42197790164964,2026-03-08T01:19:00Z,2026-03-08T01:57:00Z,88b2c55551fffff,88b2c55569fffff
m00095,u0172,t00095,0,-70.72161927399907,-33.507109985922924,-70.70583529714425,-33.55424291820004,2026-03-01T16:48:00Z,2026-03-01T18:15:00Z,88b2c5474bfffff,88b2c54469fffff
m00096,u0143,t00096,0,-70.77943654807244,-33.55534641688466,-70.70567189153667,-33.532225453421816,2026-03-03T13:33:00Z,2026-03-03T14:00:00Z,88b2c54097fffff,88b2c54719fffff
m00097,u0409,t00097,0,-70.76644727461262,-33.38313536829486,-70.75069827464004,-33.345106661470744,2026-03-03T16:50:00Z,2026-03-03T17:36:00Z,88b2c550ddfffff,88b2c55289fffff
m00098,u0382,t00098,0,-70.84283953114415,-33.42205195019517,-70.8583153931702,-33.447767242308494,2026-03-05T13:43:00Z,2026-03-05T15:35:00Z,88b2c551b9fffff,88b2c5435dfffff
m00099,u0083,t00099,0,-70.58701712109844,-33.25939181738528,-70.55636976242442,-33.259659833422035,2026-03-02T11:35:00Z,2026-03-02T12:12:00Z,88b2c5cecbfffff,88b2c5c5e5fffff
m00100,u0499,t00100,0,-70.47910854579172,-33.41638491210201,-70.48868849121519,-33.468145539962244,2026-03-02T20:29:00Z,2026-03-02T22:11:00Z,88b2c518b1fffff,88b2c50aedfffff
m00101,u0119,t00101,0,-70.51746710565297,-33.41898374869904,-70.53259851434754,-33.45674794248957,2026-03-05T21:13:00Z,2026-03-05T22:06:00Z,88b2c51993fffff,88b2c50a25fffff
m00102,u0482,t00102,0,-70.82260844886265,-33.46335423440869,-70.86094681309046,-33.431913347080176,2026-03-03T05:49:00Z,2026-03-03T06:18:00Z,88b2c5422bfffff,88b2c551b5fffff
m00103,u0004,t00103,0,-70.58751453284438,-33.38465793062394,-70.53117657907453,-33.39865042580416,2026-03-07T09:40:00Z,2026-03-07T09:56:00Z,88b2c5193dfffff,88b2c519d5fffff
m00104,u0478,t00104,0,-70.51778936500764,-33.39999318390015,-70.61935768170747,-33.43325727314829,2026-03-07T08:11:00Z,2026-03-07T09:19:00Z,88b2c519d3fffff,88b2c556bdfffff
m00105,u0472,t00105,0,-70.70568099807386,-33.34986199931479,-70.67376663006269,-33.34297818838104,2026-03-03T08:51:00Z,2026-03-03T09:47:00Z,88b2c5cdabfffff,88b2c5cd9dfffff
m00106,u0468,t00106,0,-70.649855256935,-33.49170583349098,-70.6684050544469,-33.50737820643391,2026-03-05T04:04:00Z,2026-03-05T05:07:00Z,88b2c554b5fffff,88b2c54647fffff
m00107,u0398,t00107,0,-70.86078930508046,-33.48483259783552,-70.87720293433853,-33.49895724756879,2026-03-03T13:55:00Z,2026-03-03T14:04:00Z,88b2c5406dfffff,88b2c54151fffff
m00108,u0282,t00108,0,-70.63332638320233,-33.48832825367296,-70.56563377695761,-33.46614847290272,2026-03-03T15:56:00Z,2026-03-03T16:31:00Z,88b2c554bbfffff,88b2c50b03fffff
m00109,u0423,t00109,0,-70.76635597294347,-33.386735862305684,-70.79492121663148,-33.42158786307372,2026-03-05T22:37:00Z,2026-03-05T22:42:00Z,88b2c550ddfffff,88b2c550b5fffff
m00110,u0166,t00110,0,-70.64003649820884,-33.33013004477626,-70.66723926436998,-33.35729100115672,2026-03-03T07:14:00Z,2026-03-03T07:53:00Z,88b2c5cca9fffff,88b2c5cd93fffff
m00111,u0468,t00111,0,-70.81612029221888,-33.486707239451945,-70.82133606177567,-33.48208483968748,2026-03-02T07:04:00Z,2026-03-02T08:56:00Z,88b2c5405dfffff,88b2c5404bfffff
m00112,u0333,t00112,0,-70.60571417755224,-33.48398189822345,-70.58916028211975,-33.454899604501,2026-03-03T01:31:00Z,2026-03-03T01:53:00Z,88b2c55493fffff,88b2c50b63fffff
m00113,u0275,t00113,0,-70.55754873245733,-33.42487382209042,-70.57522296374906,-33.38772901304572,2026-03-07T18:08:00Z,2026-03-07T19:32:00Z,88b2c519a3fffff,88b2c5193bfffff
m00114,u0303,t00114,0,-70.73831798617151,-33.46966092000103,-70.80127234339294,-33.48961277161188,2026-03-03T01:33:00Z,2026-03-03T01:38:00Z,88b2c55533fffff,88b2c5405bfffff
m00115,u0341,t00115,0,-70.77369225814104,-33.37383570774881,-70.80832018537632,-33.34571439874122,2026-03-03T19:07:00Z,2026-03-03T20:16:00Z,88b2c550c9fffff,88b2c5505dfffff
m00116,u0022,t00116,0,-70.875602304255,-33.630142183249525,-70.82434894999642,-33.653666452053635,2026-03-05T15:38:00Z,2026-03-05T17:28:00Z,88b2c54c65fffff,88b2c54c13fffff
m00117,u0083,t00117,0,-70.68664135340751,-33.51613640375336,-70.68365028184209,-33.46135012334615,2026-03-01T23:00:00Z,2026-03-01T23:44:00Z,88b2c54667fffff,88b2c555ddfffff
m00118,u0147,t00118,0,-70.71815939342815,-33.512593306716916,-70.70011590208,-33.54660643747951,2026-03-03T03:06:00Z,2026-03-03T03:33:00Z,88b2c54743fffff,88b2c54713fffff
m00119,u0068,t00119,0,-70.8151019412348,-33.635628480990896,-70.82555878952172,-33.595774116667144,2026-03-02T11:20:00Z,2026-03-02T12:30:00Z,88b2c54eadfffff,88b2c54e07fffff
m00120,u0263,t00120,0,-70.61469812436879,-33.52709107554951,-70.64107803221572,-33.54678565875407,2026-03-07T17:17:00Z,2026-03-07T17:54:00Z,88b2c50923fffff,88b2c546e1fffff
m00121,u0401,t00121,0,-70.70499703818646,-33.52321248926768,-70.63789426019144,-33.46281509562384,2026-03-07T18:42:00Z,2026-03-07T20:29:00Z,88b2c54753fffff,88b2c5548dfffff
m00122,u0392,t00122,0,-70.76757359586452,-33.46608837236151,-70.77510127014656,-33.44834875049594,2026-03-06T12:57:00Z,2026-03-06T14:39:00Z,88b2c542c9fffff,88b2c55525fffff
m00123,u0282,t00123,0,-70.71545724056404,-33.36096272866718,-70.73319203574512,-33.39144322454943,2026-03-02T23:30:00Z,2026-03-03T00:50:00Z,88b2c5cda7fffff,88b2c55729fffff
m00124,u0513,t00124,0,-70.55286954610703,-33.46960485209526,-70.50902385145282,-33.48527200648154,2026-03-05T13:33:00Z,2026-03-05T14:51:00Z,88b2c50b11fffff,88b2c50851fffff
m00125,u0339,t00125,0,-70.59970630562448,-33.532465097621696,-70.62860071997918,-33.509029661464986,2026-03-05T21:15:00Z,2026-03-05T22:29:00Z,88b2c50937fffff,88b2c5465bfffff
m00126,u0047,t00126,0,-70.67300260614985,-33.45455636329709,-70.69679169990081,-33.42297703076862,2026-03-07T08:03:00Z,2026-03-07T09:32:00Z,88b2c55433fffff,88b2c55461fffff
m00127,u0458,t00127,0,-70.59808949815351,-33.36606611028469,-70.59767963079284,-33.36818757803643,2026-03-02T08:14:00Z,2026-03-02T09:11:00Z,88b2c51963fffff,88b2c51905fffff
m00128,u0344,t00128,0,-70.77609119563867,-33.528076705289195,-70.77608039147515,-33.52673695686029,2026-03-06T09:41:00Z,2026-03-06T11:37:00Z,88b2c540d1fffff,88b2c540ddfffff
m00129,u0380,t00129,0,-70.65676298992729,-33.52284599071372,-70.64637853601116,-33.5000953997344,2026-03-02T14:36:00Z,2026-03-02T15:20:00Z,88b2c54603fffff,88b2c5465dfffff
m00130,u0339,t00130,0,-70.64526776695135,-33.405316083258064,-70.56160100337553,-33.40136213044774,2026-03-05T05:32:00Z,2026-03-05T05:38:00Z,88b2c55633fffff,88b2c519e3fffff
m00131,u0332,t00131,0,-70.70698365084986,-33.46772288925847,-70.69353372099577,-33.50652803503862,2026-03-07T09:42:00Z,2026-03-07T11:07:00Z,88b2c555c7fffff,88b2c54665fffff
m00132,u0054,t00132,0,-70.61645416640425,-33.39820122474325,-70.71157632491429,-33.42259044548245,2026-03-01T16:25:00Z,2026-03-01T17:46:00Z,88b2c556c5fffff,88b2c55559fffff
m00133,u0335,t00133,0,-70.73804334546445,-33.451091743343625,-70.72499138772719,-33.44403814504908,2026-03-02T06:52:00Z,2026-03-02T08:49:00Z,88b2c55539fffff,88b2c5551dfffff
m00134,u0476,t00134,0,-70.60901792922239,-33.39386690815284,-70.6075027294428,-33.3574024356579,2026-03-06T22:36:00Z,2026-03-06T23:26:00Z,88b2c556cdfffff,88b2c51961fffff
m00135,u0182,t00135,0,-70.60481412284686,-33.532806249123254,-70.6030761218728,-33.48432677639839,2026-03-01T09:09:00Z,2026-03-01T10:02:00Z,88b2c50937fffff,88b2c5094dfffff
